"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-5, #0 - Original_Task-2-20200525-19:54:53-11892)",
1,440
1.40088,582.491005653590035
1.401256,9186.04452005909839
1.813688,13744.37058634099955
1.825744,20256.94730477000116
2.22612,22029.36050167999922
2.238176,27297.22774258999552
2.250232,32508.64799718400157
2.262288,37664.5237034369928
2.638552,36862.6428434989938
2.650608,41243.36755944299502
2.662664,45584.42221774900082
2.67472,49886.3432434049899
2.686776,54149.65743329600065
2.698832,58374.88217124999185
2.710888,62562.52563735599665
2.722944,66713.08701170500705
3.050984,63491.64728494199505
3.06304,67177.7058086080068
3.075096,70834.86174090197875
3.087152,74463.4536945379803
3.099208,78063.81501338398065
3.111264,81636.2738745409876
3.12332,85181.1533880609783
3.135376,88698.7716943679841
3.147432,92189.442059430992
3.159488,95653.4729677719875
3.171544,99091.1682133369903
3.1836,102502.8269883199825
3.195656,105888.7439699399981
3.207712,109249.2094053299804
3.219768,112584.5091944499869
3.231824,115894.9249711599837
3.463416,111626.2094995199875
3.475472,114707.8727723899935
3.487528,117768.230104529997
3.499584,120807.5016916299933
3.51164,123825.9047054899853
3.523696,126823.653345809987
3.535752,129800.9588907799912
3.547808,132758.0297468199858
3.559864,135695.0714971100093
3.57192,138612.2869493199975
3.583976,141509.876182209991
3.89996,131638.2732130599902
3.912016,134314.3790822899897
3.924072,136974.0412510299935
3.936128,139617.4108159099703
3.948184,142244.63702805998
3.96024,144855.8673211699928
3.972296,147451.2473390699593
3.984352,150030.9209628099921
3.996408,152595.0303372399645
4.008464,155143.7158971599996
4.34856,145782.511911990004
4.360616,148144.2071487099741
4.372672,150492.8794110299781
4.384728,152828.6361206399738
4.396784,155151.5835210499931
4.40884,157461.8266936399737
4.420896,159759.4695735899727
4.785104,150119.2032607899741
4.79716,152255.0842581900065
4.809216,154380.2565740399872
4.821272,156494.8005422599957
5.221648,146804.2273243999803
5.233704,147653.7457983900091
5.23992,149779.3859448200087
5.63408,141440.6611194699648
5.646136,143067.0462064699965
5.657024,144922.8428233599983
6.046512,137581.4684565300118
6.058568,139297.6029979399751
6.070624,141006.9211995300136
6.08268,142709.4635917099653
6.458944,136262.5221708099703
6.471,137871.7354350200036
6.483056,139474.9636591100131
6.495112,141072.2401707599633
6.871376,135101.9068087699703
6.883432,136616.7342104899577
6.895488,138126.264595049957
6.907544,139630.5256976999805
6.9196,141129.5450604099892
7.283808,135727.9049639999863
7.332032,136479.4916334199947
7.344088,137837.1283132800015
7.744464,132267.9013034299712
7.75652,133616.621887129964
8.156896,128536.1490449300032
8.168952,129822.2832010799898
8.181008,131104.6267159300038
8.569328,126570.4848734900001
8.581384,127797.5673854000048
8.59344,129021.206874080002
8.98176,124785.342739059997
8.993816,125958.5475175399913
10.602264470016,107986.7421943600054
11.014696470016,105037.8467667700021
11.026752470016,106016.345535900007
11.427128470016,103356.8497194199878
11.439184470016,104301.8410208699931
11.451240470016,105244.8425265099792
11.839560470016,102811.249039410002
11.851616470016,103723.9099923699975
11.863672470016,104634.7160322699926
12.251992470016,102302.3808631499993
12.264048470016,103184.8498555700059
12.276104470016,104065.5855544600051
12.288160470016,104944.5930614800015
12.664424470016,102778.614463029982
12.676480470016,103631.9192150599844
12.688536470016,104483.6024338099812
12.700592470016,105333.6687369800054
12.712648470016,106182.1227247600033
13.076856470016,104146.7422329499966
13.088912470016,104971.8991663699851
13.100968470016,105795.5374194000031
13.113024470016,106617.6611808199956
13.125080470016,107438.2746240200064
13.137136470016,108257.3819070799797
13.489288470016,106324.9557742099856
13.501344470016,107122.9612141200046
13.513400470016,107919.5427705899926
13.525456470016,108714.7042511799951
13.537512470016,109508.4494498900019
13.549568470016,110300.7821472100036
13.561624470016,111091.7061102099829
13.901720470016,109241.1549545599843
13.913776470016,110012.9791001499976
13.925832470016,110783.4668643100009
13.937888470016,111552.6217148900031
13.949944470016,112320.4471077199848
13.962000470016,113086.9464867000056
13.974056470016,113852.1232838699941
13.986112470016,114615.9809193999968
14.314152470016,112831.5492924299903
14.362376470016,113292.1145324999813
14.398544470016,113130.8795407800059
14.774808470016,111065.8052407399806
14.786864470016,111790.5694849599965
15.187240470016,109637.2973936499908
15.199296470016,110343.5282882000025
16.187240470016,104353.7966294499926
16.599672470016,102487.3233536999903
16.611728470016,103138.6952352699878
17.012104470016,101420.0214348000006
17.024160470016,102056.3688329900031
17.036216470016,102691.8155847099839
17.424536470016,101095.1426473399912
17.436592470016,101716.662991919991
17.448648470016,102337.3244677699982
17.836968470016,100785.2877590699933
17.849024470016,101392.6561107099985
17.861080470016,101999.2045306699871
17.873136470016,102604.9346781699856
18.249400470016,101150.0626024899826
18.261456470016,101743.4728194100021
18.273512470016,102336.1000282999882
18.285568470016,102927.9457779100045
18.297624470016,103519.0116128999795
18.661832470016,102144.7386296399923
19.661832470016,97562.8290458339904
