"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-5, #0 - Much_Higher_DataRate-2-20200525-20:52:47-15688)",
1,440
1.4000044,582.855311026170055
1.40000628,9194.24447153189973
1.80006844,13848.36234337799757
1.80012872,20545.1974567689976
2.2001306,22289.5859000369964
2.20019088,27768.49979489099487
2.20025116,33247.11347953599752
2.20031144,38725.42697864599165
2.60019276,37406.45751201899827
2.60025304,42042.06218330199765
2.60031332,46677.4519310619942
2.6003736,51312.62677024600255
2.60043388,55947.58671579799535
2.60049416,60582.3317826639976
2.60055444,65216.8619857849988
2.60061472,69851.1773401020035
3.00025492,64565.1803480749948
3.0003152,68582.127637789992
3.00037548,72598.91351998399455
3.00043576,76615.5380043860058
3.00049604,80632.00110072499935
3.00055632,84648.30281872500175
3.0006166,88664.44316811399735
3.00067688,92680.4221586159835
3.00073716,96696.239799956005
3.00079744,100711.89610185998
3.00085772,104727.3910740400021
3.000918,108742.7247262299931
3.00097828,112757.8970681499919
3.00103856,116772.9081095199795
3.00109884,120787.7578600499833
3.00115912,124802.4463294699957
3.40031708,113697.6319867199923
3.40037736,117241.1052636799863
3.40043764,120784.452909419982
3.40049792,124327.674930620007
3.4005582,127870.7713339499892
3.40061848,131413.7421261100097
3.40067876,134956.5873137600133
3.40073904,138499.3069035999938
3.40079932,142041.9009022900132
3.4008596,145584.3693165099825
3.40091988,149126.7121529499996
3.8004998,135083.2856246999578
3.80056008,138253.307128349959
3.80062036,141423.228075319959
3.80068064,144593.0484703899707
3.80074092,147762.7683183400072
3.8008012,150932.3876239599775
3.80086148,154101.9063920199983
3.80092176,157271.3246273199907
3.80098204,160440.642334630014
3.80104232,163609.8595187399766
4.2007428,150912.3576906399678
4.20080308,153780.1195860899747
4.20086336,156647.7991800199957
4.20092364,159515.3964759999647
4.20098392,162382.9114775600025
4.2010442,165250.3441882400071
4.20110448,168117.6946115799941
4.60092552,156128.5869283099888
4.6009858,158746.84942518
4.60104608,161365.043316409981
4.60110636,163983.168604689999
5.00110824,153278.0262320399628
5.00116852,154519.0882709900031
5.0011996,156928.749654379964
5.4011704,147539.8739502799575
5.40123068,149554.0642230099762
5.40128512,151784.6182502600126
5.80123256,143398.4918542900118
5.80129284,145475.1592922499981
5.80135312,147551.7835742399907
5.8014134,149628.36470161
6.20129472,141923.911011919961
6.201355,143866.6226977799665
6.20141528,145809.2966159199708
6.20147556,147751.9327674299707
6.60135688,140628.0582727699653
6.60141716,142453.0486723599601
6.60147744,144278.0057429099683
6.60153772,146102.929485339962
6.601598,147927.8199005799828
7.00141904,141202.2326262599668
7.00166016,142919.2473117699843
7.00172044,144577.0376973199887
7.40172232,138392.654535570007
7.4017826,140020.3242932299613
7.80178448,134386.6909791899957
7.80184476,135930.9282129299825
7.80190504,137475.1415841399572
8.20184664,132241.4387401900018
8.20190692,133710.3689052799597
8.2019672,135179.2774786999796
8.6019088,130295.731570649979
8.60196908,131696.3580622400036
10.148641721388,112813.5204129999907
10.548703881388,109677.9294412999876
10.548764161388,110820.1853899599806
10.948766041388,107872.6128163999816
10.948826321388,108973.141501870006
10.948886601388,110073.6580692300046
11.348828201388,107256.888411719992
11.348888481388,108318.6253892600067
11.348948761388,109380.3510879699894
11.748890361388,106683.0961432099863
11.748950641388,107708.6829816199894
11.749010921388,108734.2592961899934
11.749071201388,109759.8250870799816
12.148952521388,107139.4424917300054
12.149012801388,108131.2548991600048
12.149073081388,109123.0574644400036
12.149133361388,110114.8501877299856
12.149193641388,111106.6330691699982
12.549014681388,108527.4051053499859
12.549074961388,109487.5920518100026
12.549135241388,110447.7697737099948
12.549195521388,111407.9382711999931
12.549255801388,112368.097544399992
12.549316081388,113328.2475934499813
12.949076841388,110760.6370375299881
12.949137121388,111691.1487184099966
12.949197401388,112621.6517360099821
12.949257681388,113552.1460904599804
12.949317961388,114482.6317818700041
12.949378241388,115413.1088103700018
12.949438521388,116343.5771760799976
13.349139001388,113763.1423151799823
13.349199281388,114665.7539328300041
13.349259561388,115568.3573988099812
13.349319841388,116470.9527132200016
13.349380121388,117373.5398761800021
13.349440401388,118276.1188877899836
13.349500681388,119178.6897481599876
13.349560961388,120081.2524574099803
13.749201161388,117467.7700211199985
13.749442281388,118342.5455883799872
13.749623121388,118470.1562813099878
14.149504441388,115974.0969584799891
14.149564721388,116825.6432299499862
14.549566601388,114442.4466802399835
14.549626881388,115270.5848522799785
15.549566601388,108633.2528296499801
15.949628761388,106664.3008092200031
15.949689041388,107419.7744892799816
16.349690921388,105529.0897115900004
16.349751201388,106266.0818870799845
16.349811481388,107003.0686281299856
16.749753081388,105167.8786809899898
16.749813361388,105887.269412119989
16.749873641388,106606.6549653099789
17.149815241388,104823.5199444899914
17.149875521388,105526.1303642099953
17.149935801388,106228.7358447499861
17.149996081388,106931.3363861499817
17.549877401388,105181.8173871699835
17.549937681388,105868.410118080006
17.549997961388,106554.9981324399992
17.550058241388,107241.5814302799988
17.550118521388,107928.1600116599872
17.949939561388,106195.7893217899834
18.949939561388,101227.9745687700048
19.350001721388,99758.1306603389963
19.350062001388,100380.8669895000054
