"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-6, #0 - Double_Delay-1-20200525-21:06:54-20292)",
1,440
1.80088,453.1118120030199615
1.801256,7146.12470409540035
4.80088,5192.381396743900025
5.613312,6588.623614721598615
5.625368,8717.65189406279748
6.425744,9508.00405369399956
6.4378,11362.88794308599968
7.238176,11772.02654370399975
7.250232,13415.29484849599972
7.262288,15053.10723011799921
8.050608,15076.62526855100072
8.062664,16549.36879423500063
8.07472,18017.71454613899543
8.086776,19481.6821932499951
8.86304,19135.64645990500135
8.875096,20468.06028915099882
8.887152,21796.85910626899562
8.899208,23122.0576033280012
8.911264,24443.67039288699737
9.675472,23759.04762062300135
9.687528,24973.9665268579992
9.699584,26185.86529071800025
9.71164,27394.75515978800095
9.723696,28600.6473258729965
9.735752,29803.55292534199532
10.487904,28815.67184444099975
10.49996,29930.78068868799882
10.512016,31043.33174530899842
10.524072,32153.33380463399942
10.536128,33260.79561675799767
10.548184,34365.72589177399632
10.56024,35468.13330000099075
11.300336,34212.0800655839993
11.312392,35241.35302241999295
11.324448,36268.4344526109925
11.336504,37293.33134800600225
11.34856,38316.0506707460007
11.360616,39336.59935341498925
11.372672,40354.98429920399202
12.112768,38884.58855977399782
12.124824,39840.24840278099865
12.13688,40794.00966310899805
12.148936,41745.87799293699202
12.160992,42695.85902202699787
12.173048,43643.95835784099457
12.185104,44590.18158564799515
12.19716,45534.5342686329967
12.9252,43902.45412063300305
12.937256,44793.42450980299315
12.949312,45682.73588589100095
12.961368,46570.3928782829897
12.973424,47456.40009915699175
12.98548,48340.7621435629988
12.997536,49223.4835895049908
13.009592,50104.56899801299715
13.021648,50984.02291322899675
13.737632,49204.4043689629906
13.749688,50038.08086408900255
13.761744,50870.2966717009983
13.7738,51701.05562734999675
13.785856,52530.3615531749963
13.797912,53358.21825795099705
13.809968,54184.62953715799065
13.822024,55009.599173030001
13.83408,55833.13093461899535
13.846136,56655.2285778499934
14.550064,54742.85199020399875
14.56212,55525.43173658799765
14.574176,56306.716757090995
14.586232,57086.71026211600095
14.598288,57865.41545145599215
14.610344,58642.83551434500235
14.6224,59418.9736294999891
14.634456,60193.83296516099635
14.646512,60967.41667913799735
14.658568,61739.7279188529936
14.670624,62510.76982137899885
15.362496,60480.2761217969963
15.374552,61217.0032661759904
15.386608,61952.57590236898965
15.398664,62686.9967420549945
15.41072,63420.2684884289918
15.422776,64152.3938362329934
15.434832,64883.3754717900008
15.446888,65613.2160730369795
15.458944,66341.918309556
15.471,67069.4848426090028
15.483056,67795.91832516799315
15.495112,68521.2214019490055
16.174928,66386.6942715290059
16.186984,67082.0456732400051
16.19904,67776.3620560230045
16.211096,68469.645729073003
16.223152,69161.8989947210064
16.235208,69853.12414845600125
16.247264,70543.32347895597905
16.25932,71232.49926811200555
16.271376,71920.6537910499899
16.283432,72607.7893161590034
16.295488,73293.9081051149985
16.307544,73979.0124129049944
16.3196,74663.10448785498725
16.98736,72437.85967919699005
16.999416,73095.6875224419926
17.011472,73752.58296283800135
17.023528,74408.54798135900605
17.035584,75063.5845533679819
17.04764,75717.694648642995
17.059696,76370.8802313949851
17.071752,77023.1432602819985
17.083808,77674.48568843698
17.095864,78324.9094634820064
17.10792,78974.41652754999785
17.119976,79623.00881730200465
17.132032,80270.6882639490066
17.144088,80917.45679326899665
17.799792,78613.9523428139798
17.811848,79237.595110850001
17.823904,79860.39422115398315
17.83596,80482.3513845059785
17.848016,81103.46830706598105
17.860072,81723.74669038300625
17.872128,82343.1882314179963
17.884184,82961.79462255598605
17.89624,83579.56755161998415
17.908296,84196.50870188898965
17.920352,84812.61975211199005
17.932408,85427.90237652399785
17.944464,86042.35824485999155
17.95652,86655.98902237199925
17.968576,87268.7963698399833
18.612224,84898.61286861798705
18.62428,85490.98273866198705
18.636336,86082.5861907619981
18.648392,86673.424711364001
18.660448,87263.49978307099065
18.672504,87852.81288465598455
18.68456,88441.36549107899175
18.696616,89029.159073491988
18.708672,89616.19509925699075
18.720728,90202.47503195400325
18.732784,90788.000331397983
18.74484,91372.77245364600075
18.756896,91956.7928510129856
18.768952,92540.0629720829891
18.781008,93122.5842617180021
18.793064,93704.3581610749821
19.424656,91278.2187751479794
19.436712,91841.8711971449954
19.448768,92404.8248197519857
19.460824,92967.0809416910048
19.47288,93528.64085846598
19.484936,94089.5058623749935
19.496992,94649.6772425200029
19.509048,95209.1562848169994
19.521104,95767.9442720039803
19.53316,96326.0424836529998
19.545216,96883.4521961789867
19.557272,97440.174682848999
19.569328,97996.2112137929941
19.581384,98551.5630560129937
19.59344,99106.2314733910023
19.605496,99660.2177267030053
19.617552,100213.5230736199881
