"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-6, #0 - Half_Delay-1-20200525-21:07:18-7344)",
1,440
1.20088,679.501698754249899
1.201256,10715.45116111799868
4.20088,5933.994782045700025
4.413312,8380.100931001499675
4.425368,11081.56429024699898
4.625744,13207.82127156199926
4.6378,15772.99581698199828
4.838176,17611.59577493699901
4.850232,20053.4737307409959
4.862288,22483.24245704899652
5.050608,24031.95813256499962
5.062664,26356.08446462199925
5.07472,28669.1679540939948
5.086776,30971.2871178130007
5.26304,32224.72183376899912
5.275096,34436.5296859049994
5.287152,36638.25061204998915
5.299208,38829.95345719599562
5.311264,41011.70644125399112
5.475472,41983.59520421299377
5.487528,44088.3399592679924
5.499584,46183.85681535200255
5.51164,48270.20632697299865
5.523696,50347.44851997599455
5.535752,52415.64289729700235
5.687904,53133.104918789002
5.69996,55135.82551456498905
5.712016,57130.0920725710019
5.724072,59115.95801031199505
5.736128,61093.4762962050006
5.748184,63062.69945429699125
5.76024,65023.6795689069984
5.900336,65523.0481789509939
5.912392,67428.5466863499894
5.924448,69326.2899767199995
5.936504,71216.325298526004
5.94856,73098.69951719400685
5.960616,74973.45911898999455
5.972672,76840.65021484499415
6.112768,77051.8364184609961
6.124824,78868.5519779830063
6.13688,80678.12960331598875
6.148936,82480.6112797399981
6.160992,84276.03866390298915
6.173048,86064.4530870330053
6.185104,87845.895558101998
6.19716,89620.4067669709909
6.3252,89712.26206285998315
6.337256,91443.99405673399415
6.349312,93169.1496653500067
6.361368,94887.766279203002
6.373424,96599.8810058769883
6.38548,98305.5306727139975
6.397536,100004.7518294499892
6.409592,101697.58075085
6.421648,103384.0534392400001
6.537632,103394.011776739993
6.549688,105044.3929542900001
6.561744,106688.7095869600013
6.5738,108326.9950409199806
6.585856,109959.2824379999943
6.597912,111585.6046579599785
6.609968,113205.9943406700036
6.622024,114820.4838883100016
6.63408,116429.1054675299962
6.646136,118031.8910115599862
6.750064,118000.6589567199986
6.76212,119573.1516151700048
6.774176,121140.047143739997
6.786232,122701.375372959999
6.798288,124257.1659217700067
6.810344,125807.448199389997
6.8224,127352.2514071299808
6.834456,128891.6045402899903
6.846512,130425.536389919987
6.858568,131954.0755446300025
6.870624,133477.250392399961
6.962496,133447.5452481399985
6.974552,134945.4416570399767
6.986608,136438.1685647699628
6.998664,137925.7526865099786
7.01072,139408.2205536699618
7.022776,140885.5985154599762
7.034832,142357.9127404899913
7.046888,143825.1892182799635
7.058944,145287.4537607899981
7.071,146744.7320039600013
7.083056,148197.049409180006
7.095112,149644.4312647900075
7.174928,149660.0384003900102
7.186984,151086.4640856299663
7.19904,152508.112192739965
7.211096,153925.0066841400108
7.223152,155337.1713623100072
7.235208,156744.6298710400001
7.247264,158147.4056968300132
7.25932,159545.5221701199766
7.271376,160939.0024666599926
7.283432,162327.8696087200072
7.295488,163712.1464664199733
7.307544,165091.8557589299738
7.3196,166467.0200557399652
7.38736,166572.0907062899782
7.399416,167930.0096115699847
7.411472,169283.5107519800071
7.423528,170632.6156512100127
7.435584,171977.345693359966
7.44764,173317.7221240599751
7.459696,174653.7660515899766
7.471752,175985.4984480199632
7.483808,177312.9401502599935
7.495864,178636.1118611500128
7.50792,179955.0341505999672
7.519976,181269.7274565799737
7.532032,182580.2120861900033
7.544088,183886.5082167699578
7.599792,184125.0392115999707
7.648016,184540.4089112799843
7.69624,183682.4215461100097
7.708296,184959.1660724999962
7.720352,186231.9231040200096
7.732408,187500.7112920099746
7.744464,188765.5491716400132
7.75652,190026.4551628800103
7.812224,190214.7199056199746
7.860448,190581.5037514399733
7.898912,190149.7320137299827
7.920728,191148.0863880199608
7.932784,192377.3545327800087
7.94484,193602.8919399299768
7.956896,194824.7155674799572
7.968952,196042.8422708499706
8.024656,196184.3598030899878
8.07288,196505.8318716500066
8.103208,197258.1723189099571
8.13316,198014.0560372599862
8.145216,199201.1016036900102
8.157272,200384.638393819972
8.169328,201564.6819420199602
8.181384,202741.2476910999971
8.237088,202833.8169994099876
8.249144,203998.8633972199745
8.285312,204563.4491495299728
8.31564,205267.1832835499657
8.345592,205975.0824147599627
8.357648,207120.472171119996
8.369704,208262.5622124699871
8.38176,209401.3667773799965
8.393816,210536.9000225900085
8.44952,210575.748681580007
8.461576,211700.5153649899871
8.497744,212218.2075619099772
8.5098,213334.2734259300043
8.528072,214290.8737168299843
8.558024,214949.6192111599952
8.57008,216053.9924948199762
8.582136,217155.2629788200133
8.594192,218253.4437210600003
8.606248,219348.5477062700078
8.661952,219329.7769371200113
8.674008,220414.8301454199821
8.710176,220883.7111902199682
8.722232,221960.6174199400113
8.734288,223034.5507269699585
8.746344,224105.5234049799613
8.770456,224864.0207533100031
8.782512,225928.0716041199621
8.794568,226989.2051548199956
8.806624,228047.4333865100047
8.81868,229102.768214739975
8.874384,229023.2200905400087
8.88644,230069.1840602100121
8.922608,230487.7677019999822
8.934664,231526.1099913800132
8.94672,232561.653879860008
8.958776,233594.4106650300082
8.970832,234624.3915837499657
8.982888,235651.6078125399647
8.994944,236676.0704680299962
9.007,237697.7906073099577
9.019056,238716.7792283399607
9.031112,239733.0472703700062
9.086816,239590.193088539992
9.098872,240597.7356314099737
9.13504,240964.899989489989
9.147096,241965.3188290600077
9.159152,242963.1040078799697
9.171208,243958.2659121899627
9.183264,244950.8148736699945
9.19532,245940.761169809964
9.207376,246928.1150243000002
9.219432,247912.8866073300007
9.231488,248895.0860359699572
9.243544,249874.723374499997
9.2556,250851.8086347699857
9.299248,250970.8311897899835
9.311304,251940.6519215799627
9.347472,252255.5831138099885
9.359528,253218.7520567299792
