"throughput:vector Exercise4.client.pppg$o[0].channel ($ber=1e-7, $timelimit=20, #0 - Much_Higher_DataRate-0-20200525-21:25:38-6660)",
1,440
1.4000044,582.855311026170055
1.40000628,9194.24447153189973
1.80006844,13848.36234337799757
1.80012872,20545.1974567689976
2.2001306,22289.5859000369964
2.20019088,27768.49979489099487
2.20025116,33247.11347953599752
2.20031144,38725.42697864599165
2.60019276,37406.45751201899827
2.60025304,42042.06218330199765
2.60031332,46677.4519310619942
2.6003736,51312.62677024600255
2.60043388,55947.58671579799535
2.60049416,60582.3317826639976
2.60055444,65216.8619857849988
2.60061472,69851.1773401020035
3.00025492,64565.1803480749948
3.0003152,68582.127637789992
3.00037548,72598.91351998399455
3.00043576,76615.5380043860058
3.00049604,80632.00110072499935
3.00055632,84648.30281872500175
3.0006166,88664.44316811399735
3.00067688,92680.4221586159835
3.00073716,96696.239799956005
3.00079744,100711.89610185998
3.00085772,104727.3910740400021
3.000918,108742.7247262299931
3.00097828,112757.8970681499919
3.00103856,116772.9081095199795
3.00109884,120787.7578600499833
3.00115912,124802.4463294699957
3.40031708,113697.6319867199923
3.40037736,117241.1052636799863
3.40043764,120784.452909419982
3.40049792,124327.674930620007
3.4005582,127870.7713339499892
3.40061848,131413.7421261100097
3.40067876,134956.5873137600133
3.40073904,138499.3069035999938
3.40079932,142041.9009022900132
3.4008596,145584.3693165099825
3.40091988,149126.7121529499996
3.40098016,152668.9294182799633
3.40104044,156211.021119170007
3.40110072,159752.9872623099941
3.401161,163294.8278543699995
3.40122128,166836.5429020199803
3.40128156,170378.1324119499762
3.40134184,173919.5963908199915
3.40140212,177460.9348452999833
3.4014624,181002.1477820799913
3.40152268,184543.2352078299731
3.40158296,188084.1971292099913
3.40164324,191625.0335528999565
3.40170352,195165.744485570001
3.4017638,198706.3299338999781
3.40182408,202246.7899045500085
3.80037924,184208.9843644099885
3.80043952,187378.327230950002
3.8004998,190547.569559140014
3.80056008,193716.7113537599793
3.80062036,196885.7526196099928
3.80068064,200054.6933614499863
3.80074092,203223.5335840799956
3.8008012,206392.2732922699645
3.80086148,209560.9124908199876
3.80092176,212729.4511844899965
3.80098204,215897.8893780799691
3.80104232,219066.2270763699775
3.8011026,222234.464284129964
3.80116288,225402.6010061400003
3.80122316,228570.6372472000071
3.80128344,231738.5730120699727
3.80134372,234906.4083055299702
3.801404,238074.1431323799765
3.80146428,241241.7774973799815
3.80152456,244409.311405320011
3.80158484,247576.744860970007
3.80164512,250744.0778691099832
3.8017054,253911.310434520011
3.80176568,257078.442561979987
3.80182596,260245.4742562699822
3.80188624,263412.4055221599987
3.80194652,266579.2363644299325
3.8020068,269745.9667878599132
3.80206708,272912.5967972099307
3.80212736,276079.1263972800217
3.80218764,279245.5555928299427
3.80224792,282411.88438863994
4.20170728,257042.1802444100025
4.20176756,259907.7612946300062
4.20182784,262773.2601248099227
4.20188812,265638.6767384900007
4.2019484,268504.011139209964
4.20200868,271369.263330510002
4.20206896,274234.4333159199445
4.20212924,277099.5210989799807
4.20218952,279964.5266832199407
4.2022498,282829.4500721999202
4.20231008,285694.2912694299587
4.20237036,288559.0502784699195
4.60195028,266123.6922359799495
4.60201056,268739.9309227099867
4.60207084,271356.1010720999907
4.60213112,273972.2026868299575
4.6021914,276588.2357695900132
4.60225168,279204.200323089957
4.60231196,281820.096350010018
4.60237224,284435.9238530399737
4.60243252,287051.68283487996
5.002133,266524.7005627399767
5.00219328,268931.631526239914
5.00225356,271338.5044799699675
5.00231384,273745.3194260200245
5.00237412,276152.0763664899852
5.0024344,278558.7753034799815
5.00249468,280965.4162390800187
5.40231572,262403.027418770012
5.402376,264631.7101956600082
5.40243628,266860.3432375899277
5.40249656,269088.926546209957
5.40255684,271317.460123199969
5.80249844,254694.4243555899587
5.80255872,256769.4825499299907
5.802619,258844.4976311599595
6.20262088,244095.5249871700065
6.20268116,246036.8283705199715
6.60268304,232957.419079740007
6.60274332,234781.200005819962
7.0027452,223091.9382872899871
7.00280548,224811.6136448800093
7.40280736,214292.7571736800012
7.40286764,215919.5703247800116
7.80286952,206395.8644793499838
7.8029298,207939.3306857600103
8.20293168,199269.2446756999702
8.20299196,200737.4879835899915
8.60299384,192805.4385309199565
8.60305412,194205.4503778899666
9.003056,186916.0871597399813
9.00311628,188253.9275611799672
9.40311816,181527.8688362200041
9.40317844,182808.8247998799775
9.80318032,176579.4307045899908
9.8032406,177808.1423401999632
10.20324248,172019.0423230999726
10.20330276,173199.6042426599883
10.60330464,167802.780398089962
10.60336492,168938.8239973899903
10.6034252,170074.8546799799657
11.0033668,164988.7741631999957
11.00342708,166083.5289508699785
11.00348736,167178.2717438400137
11.00354764,168273.0025422999747
11.00360792,169367.7213464399678
11.0036682,170462.4281564599946
11.40342896,165543.890931559959
11.40348924,166600.236122119997
11.40354952,167656.5701448399918
11.4036098,168712.8929998999806
11.40367008,169769.2046874799995
11.40373036,170825.5052077499562
11.40379064,171881.7945608999577
11.40385092,172938.0727470999695
11.4039112,173994.3397665199587
11.40397148,175050.595619339961
11.40403176,176106.8403057499666
11.40409204,177163.0738259099883
11.80349112,172189.7343198899757
11.8035514,173210.2424699100077
11.80361168,174230.7401966300091
11.80367196,175251.2275002299571
11.80373224,176271.7043808499578
11.80379252,177292.1708386699897
11.8038528,178312.6268738299835
11.80391308,179333.0724864999641
11.80397336,180353.5076768400025
11.80403364,181373.9324450099952
11.80409392,182394.3467911700127
11.8041542,183414.7507154699991
11.80421448,184435.1442180799781
11.80427476,185455.5272991599626
11.80433504,186475.8999588699657
11.80439532,187496.2621973599883
11.8044556,188516.614014799997
11.80451588,189536.9554113399932
11.80457616,190557.2863871500007
11.80463644,191577.6069423799632
11.80469672,192597.9170771999627
11.804757,193618.216791760001
12.20355328,188278.9337893599871
12.20361356,189265.9078922899782
12.20367384,190252.8722448999753
12.20373412,191239.8268473600033
12.2037944,192226.771699789969
12.20385468,193213.7068023500031
12.20391496,194200.6321551799772
12.20397524,195187.5477584099858
12.20403552,196174.4536122099957
12.2040958,197161.3497167099845
12.20415608,198148.2360720499995
12.20421636,199135.1126783899957
12.20427664,200121.979535860009
12.20433692,201108.8366445999702
12.2043972,202095.6840047799627
12.20445748,203082.5216165200103
12.20451776,204069.3494799699976
12.20457804,205056.1675952899962
12.20463832,206042.9759625999718
12.2046986,207029.7745820599952
12.20475888,208016.5634538099977
12.20481916,209003.3425779999808
12.20487944,209990.1119547599806
12.20493972,210976.871584250009
12.60367572,205258.851264700002
12.6043388,206043.9695575300133
12.60439908,206999.4756148299781
12.60445936,207954.9725328299676
12.60451964,208910.460311679984
12.60457992,209865.9389514999925
12.6046402,210821.4084524199707
12.60470048,211776.8688145799672
12.60476076,212732.3200381000056
12.60482104,213687.7621231199585
12.60488132,214643.195069769979
12.6049416,215598.6188781699743
12.60500188,216554.033548470004
13.00373788,210840.9155352799565
13.00379816,211767.0519118499938
13.0045818,212681.3489688700058
13.00464208,213607.4167140799683
13.00470236,214533.4758741799737
13.00476264,215459.5264492999991
13.00482292,216385.5684395600106
13.0048832,217311.6018450699625
13.00500376,218236.6151042199921
13.00506404,219162.6270530800096
13.40380004,213542.4276293499853
13.40470424,214427.4091048499678
13.40494536,214887.2615770199913
13.40506592,215784.6904493299652
13.4051262,216683.0775528199731
13.8038622,211297.3860315699707
13.8047664,212156.867790239979
13.80497832,213026.9191179699843
13.80512808,213897.9068421699915
13.80518836,214770.2677198399901
13.80524864,215642.6209792600121
14.20392436,210438.7438458600077
14.20482856,211274.0739758699777
14.20504048,212119.634874849987
14.20510076,212967.443956380011
14.20519024,213814.8063267300016
14.20525052,214662.5992767100097
14.2053108,215510.385031490004
14.60398652,210452.6730280799668
14.60489072,211265.1206471999753
14.60510264,212087.520118929969
14.60516292,212912.1062895999633
14.6052232,213736.6856536599803
14.60528348,214561.2582112000087
14.60534376,215385.8239622800025
14.60540404,216210.3829070099738
15.00404868,211269.3758602199952
15.00495288,212060.1127805699937
15.0051648,212860.5745136499746
15.00522508,213663.1728552500127
15.00528536,214465.764748379995
15.00534564,215268.3501930999913
15.00540592,216070.9291894999908
15.0054662,216873.5017376499593
15.00552648,217676.0678376400022
15.40411084,212826.3055266399745
15.40501504,213596.415937029989
15.40522696,214376.0691468599828
15.40528724,215157.8187645699938
15.40534752,215939.5622644199751
15.4054078,216721.2996464800087
15.40546808,217503.0309108300128
15.40552836,218284.7560575300003
15.40558864,219066.4750866699608
15.40564892,219848.1879983000103
15.804173,215067.2483780100003
15.8050772,215817.7373534099891
15.80528912,216577.6262623699726
15.8053494,217339.579977899964
15.80540968,218101.5278814299957
15.80546996,218863.469973019964
15.80553024,219625.4062527400087
15.80559052,220387.3367206499672
15.8056508,221149.26137681998
15.80571108,221911.1802213200127
15.80577136,222673.093254209961
16.20423516,217941.5421418799665
16.20513936,218673.3431461199647
16.20535128,219414.4353037399702
16.20541156,220157.5681549700087
