"rxPkOk:vector(packetBytes) Exercise4.server.ppp[0].ppp ($timelimit=20, $ber=1e-7, #0 - Original_Task-0-20200525-23:44:05-11564)",
1.20044,55
1.601256,47
1.613312,1507
2.025744,1507
2.0378,1507
2.438176,1507
2.450232,1507
2.462288,1507
2.474344,1507
2.850608,1507
2.862664,1507
2.87472,1507
2.886776,1507
2.898832,1507
2.910888,1507
2.922944,1507
2.935,1507
3.26304,1507
3.275096,1507
3.287152,1507
3.299208,1507
3.311264,1507
3.32332,1507
3.335376,1507
3.347432,1507
3.359488,1507
3.371544,1507
3.3836,1507
3.395656,1507
3.407712,1507
3.419768,1507
3.431824,1507
3.44388,1507
3.675472,1507
3.687528,1507
3.699584,1507
3.71164,1507
3.723696,1507
3.735752,1507
3.747808,1507
3.759864,1507
3.77192,1507
3.783976,1507
3.796032,1507
3.808088,1507
3.820144,1507
3.8322,1507
3.844256,1507
3.856312,1507
3.868368,1507
3.880424,1507
3.89248,1507
3.904536,1507
3.916592,1507
3.928648,1507
3.940704,1507
3.95276,1507
3.964816,1507
3.976872,1507
4.087904,1507
4.09996,1507
4.112016,1507
4.124072,1507
4.136128,1507
4.148184,1507
4.16024,1507
4.172296,1507
4.184352,1507
4.196408,1507
4.208464,1507
4.22052,1507
4.232576,1507
4.244632,1507
4.256688,1507
4.268744,1507
4.2808,1507
4.292856,1507
4.304912,1507
4.316968,1507
4.329024,1507
4.34108,1507
4.353136,1507
4.365192,1507
4.377248,1507
4.389304,1507
4.40136,1507
4.413416,1507
4.425472,1507
4.437528,1507
4.449584,1507
4.46164,1507
4.747672,777
4.765568,1507
4.777624,1507
4.78968,1507
4.801736,1507
4.813792,1507
4.825848,1507
4.837904,1507
4.84996,1507
4.862016,1507
4.874072,1507
4.886128,1507
5.202112,1507
5.214168,1507
5.226224,1507
5.23828,1507
5.250336,1507
5.262392,1507
5.274448,1507
5.286504,1507
5.29856,1507
5.638656,1507
5.650712,1507
5.662768,1507
5.674824,1507
5.68688,1507
5.698936,1507
5.710992,1507
6.0752,1507
6.087256,1507
6.099312,1507
6.111368,1507
6.123424,1507
6.511744,1507
6.5238,1507
6.535856,1507
6.936232,1507
6.948288,1507
7.348664,1507
7.36072,1507
7.761096,1507
7.773152,1507
8.173528,1507
8.185584,1507
8.58596,1507
8.598016,1507
8.998392,1507
9.010448,1507
9.410824,1507
9.42288,1507
9.823256,1507
9.835312,1507
10.235688,1507
10.247744,1507
10.64812,1507
10.660176,1507
11.060552,1507
11.072608,1507
11.472984,1507
11.48504,1507
11.497096,1507
11.885416,1507
11.897472,1507
11.909528,1507
11.921584,1507
11.93364,1507
11.945696,1507
12.297848,1507
12.309904,1507
12.32196,1507
12.334016,1507
12.346072,1507
12.358128,1507
12.370184,1507
12.38224,1507
12.394296,1507
12.406352,1507
12.418408,1507
12.430464,1507
12.71028,1507
12.722336,1507
12.734392,1507
