run,ber,timelimit,repetition,Module,throughput:last
Hundred_Runs-269-20200611-02:18:32-44859,1e-7,1000,69,Exercise6.client.pppg$o[0].channel,763265.14608951
Hundred_Runs-226-20200611-02:17:10-44552,1e-7,1000,26,Exercise6.client.pppg$o[0].channel,771796.52371411
Hundred_Runs-277-20200611-02:18:36-44950,1e-7,1000,77,Exercise6.client.pppg$o[0].channel,775677.23312052
Hundred_Runs-234-20200611-02:17:37-44560,1e-7,1000,34,Exercise6.client.pppg$o[0].channel,785380.05840845
Hundred_Runs-250-20200611-02:18:07-44662,1e-7,1000,50,Exercise6.client.pppg$o[0].channel,778983.58590773
Hundred_Runs-202-20200611-02:16:43-44451,1e-7,1000,2,Exercise6.client.pppg$o[0].channel,778594.64808361
Hundred_Runs-293-20200611-02:19:05-44956,1e-7,1000,93,Exercise6.client.pppg$o[0].channel,784891.93919287
Hundred_Runs-95-20200611-02:16:09-44329,1e-7,10,95,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-163-20200611-02:16:22-44346,1e-7,100,63,Exercise6.client.pppg$o[0].channel,760079.31336419
Hundred_Runs-119-20200611-02:16:15-44335,1e-7,100,19,Exercise6.client.pppg$o[0].channel,751334.0934057
Hundred_Runs-198-20200611-02:16:30-44452,1e-7,100,98,Exercise6.client.pppg$o[0].channel,727753.01405977
Hundred_Runs-52-20200611-02:16:07-44319,1e-7,10,52,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-120-20200611-02:16:13-44336,1e-7,100,20,Exercise6.client.pppg$o[0].channel,727213.14596885
Hundred_Runs-171-20200611-02:16:24-44347,1e-7,100,71,Exercise6.client.pppg$o[0].channel,661068.24032683
Hundred_Runs-87-20200611-02:16:09-44328,1e-7,10,87,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-218-20200611-02:17:09-44550,1e-7,1000,18,Exercise6.client.pppg$o[0].channel,778321.71257083
Hundred_Runs-1-20200611-02:16:05-44309,1e-7,10,1,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-83-20200611-02:16:09-44327,1e-7,10,83,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-44-20200611-02:16:06-44316,1e-7,10,44,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-186-20200611-02:16:27-44447,1e-7,100,86,Exercise6.client.pppg$o[0].channel,692952.34398233
Hundred_Runs-143-20200611-02:16:18-44341,1e-7,100,43,Exercise6.client.pppg$o[0].channel,657833.94378923
Hundred_Runs-40-20200611-02:16:06-44314,1e-7,10,40,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-36-20200611-02:16:06-44317,1e-7,10,36,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-91-20200611-02:16:09-44326,1e-7,10,91,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-79-20200611-02:16:08-44325,1e-7,10,79,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-209-20200611-02:16:36-44454,1e-7,1000,9,Exercise6.client.pppg$o[0].channel,754413.10266933
Hundred_Runs-297-20200611-02:19:27-45065,1e-7,1000,97,Exercise6.client.pppg$o[0].channel,757676.93148214
Hundred_Runs-67-20200611-02:16:08-44322,1e-7,10,67,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-211-20200611-02:16:49-44454,1e-7,1000,11,Exercise6.client.pppg$o[0].channel,779568.84015681
Hundred_Runs-112-20200611-02:16:11-44334,1e-7,100,12,Exercise6.client.pppg$o[0].channel,649412.73892485
Hundred_Runs-127-20200611-02:16:14-44337,1e-7,100,27,Exercise6.client.pppg$o[0].channel,633342.59307566
Hundred_Runs-155-20200611-02:16:21-44344,1e-7,100,55,Exercise6.client.pppg$o[0].channel,672028.96310534
Hundred_Runs-254-20200611-02:18:08-44664,1e-7,1000,54,Exercise6.client.pppg$o[0].channel,781764.88865586
Hundred_Runs-8-20200611-02:16:05-44307,1e-7,10,8,Exercise6.client.pppg$o[0].channel,173616.91302819
Hundred_Runs-238-20200611-02:17:39-44561,1e-7,1000,38,Exercise6.client.pppg$o[0].channel,790610.98213383
Hundred_Runs-60-20200611-02:16:07-44321,1e-7,10,60,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-24-20200611-02:16:06-44312,1e-7,10,24,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-285-20200611-02:19:02-44954,1e-7,1000,85,Exercise6.client.pppg$o[0].channel,775866.33699109
Hundred_Runs-242-20200611-02:17:38-44562,1e-7,1000,42,Exercise6.client.pppg$o[0].channel,783207.50424562
Hundred_Runs-139-20200611-02:16:18-44339,1e-7,100,39,Exercise6.client.pppg$o[0].channel,634892.18159122
Hundred_Runs-191-20200611-02:16:28-44448,1e-7,100,91,Exercise6.client.pppg$o[0].channel,731200.18893394
Hundred_Runs-106-20200611-02:16:11-44331,1e-7,100,6,Exercise6.client.pppg$o[0].channel,643244.34645375
Hundred_Runs-12-20200611-02:16:05-44306,1e-7,10,12,Exercise6.client.pppg$o[0].channel,176122.50988647
