run,ber,timelimit,repetition,Module,throughput:last
Ten_Runs-0-20200610-17:31:35-43099,1e-7,10,0,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-5-20200610-17:31:35-43098,1e-7,10,5,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-20-20200610-17:31:36-43103,1e-7,1000,0,Exercise6.client.pppg$o[0].channel,786514.53282667
Ten_Runs-16-20200610-17:31:36-43102,1e-7,100,6,Exercise6.client.pppg$o[0].channel,679012.54421872
Ten_Runs-17-20200610-17:31:37-43102,1e-7,100,7,Exercise6.client.pppg$o[0].channel,740511.3791604
Ten_Runs-11-20200610-17:31:36-43101,1e-7,100,1,Exercise6.client.pppg$o[0].channel,676028.36389219
Ten_Runs-25-20200610-17:31:45-43104,1e-7,1000,5,Exercise6.client.pppg$o[0].channel,787600.54004466
Ten_Runs-1-20200610-17:31:35-43099,1e-7,10,1,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-29-20200610-17:31:53-43105,1e-7,1000,9,Exercise6.client.pppg$o[0].channel,796477.47931101
Ten_Runs-21-20200610-17:31:44-43103,1e-7,1000,1,Exercise6.client.pppg$o[0].channel,750614.91638804
Ten_Runs-6-20200610-17:31:35-43098,1e-7,10,6,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-18-20200610-17:31:37-43102,1e-7,100,8,Exercise6.client.pppg$o[0].channel,681792.95517092
Ten_Runs-15-20200610-17:31:37-43100,1e-7,100,5,Exercise6.client.pppg$o[0].channel,667401.28483353
Ten_Runs-10-20200610-17:31:35-43101,1e-7,100,0,Exercise6.client.pppg$o[0].channel,707938.06644046
Ten_Runs-26-20200610-17:31:52-43104,1e-7,1000,6,Exercise6.client.pppg$o[0].channel,773306.39212525
Ten_Runs-2-20200610-17:31:35-43099,1e-7,10,2,Exercise6.client.pppg$o[0].channel,226549.20436232
Ten_Runs-14-20200610-17:31:36-43100,1e-7,100,4,Exercise6.client.pppg$o[0].channel,669698.64285955
Ten_Runs-27-20200610-17:31:39-43105,1e-7,1000,7,Exercise6.client.pppg$o[0].channel,794089.28525499
Ten_Runs-19-20200610-17:31:38-43102,1e-7,100,9,Exercise6.client.pppg$o[0].channel,663552.37242844
Ten_Runs-22-20200610-17:31:50-43103,1e-7,1000,2,Exercise6.client.pppg$o[0].channel,800284.80045568
Ten_Runs-7-20200610-17:31:35-43098,1e-7,10,7,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-23-20200610-17:31:58-43103,1e-7,1000,3,Exercise6.client.pppg$o[0].channel,813382.5251617
Ten_Runs-3-20200610-17:31:35-43099,1e-7,10,3,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-13-20200610-17:31:36-43100,1e-7,100,3,Exercise6.client.pppg$o[0].channel,710122.61042247
Ten_Runs-9-20200610-17:31:35-43101,1e-7,10,9,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-8-20200610-17:31:35-43101,1e-7,10,8,Exercise6.client.pppg$o[0].channel,173616.91302819
Ten_Runs-12-20200610-17:31:35-43100,1e-7,100,2,Exercise6.client.pppg$o[0].channel,686572.82671622
Ten_Runs-24-20200610-17:31:37-43104,1e-7,1000,4,Exercise6.client.pppg$o[0].channel,776989.46809597
Ten_Runs-4-20200610-17:31:35-43098,1e-7,10,4,Exercise6.client.pppg$o[0].channel,176122.50988647
Ten_Runs-28-20200610-17:31:46-43105,1e-7,1000,8,Exercise6.client.pppg$o[0].channel,770257.33815823
