run,ber,timelimit,repetition,Module,throughput:last
Thousand_Runs-829-20200611-02:22:48-45613,1e-7,10,829,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1555-20200611-02:24:51-45989,1e-7,100,555,Exercise6.client.pppg$o[0].channel,646005.4223595
Thousand_Runs-1458-20200611-02:24:31-45965,1e-7,100,458,Exercise6.client.pppg$o[0].channel,647369.31025091
Thousand_Runs-2059-20200611-02:28:04-46117,1e-7,1000,59,Exercise6.client.pppg$o[0].channel,785399.15841593
Thousand_Runs-748-20200611-02:22:44-45590,1e-7,10,748,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1830-20200611-02:25:47-46058,1e-7,100,830,Exercise6.client.pppg$o[0].channel,675257.54637563
Thousand_Runs-1474-20200611-02:24:34-45969,1e-7,100,474,Exercise6.client.pppg$o[0].channel,680147.27942528
Thousand_Runs-2957-20200611-02:52:46-46364,1e-7,1000,957,Exercise6.client.pppg$o[0].channel,775860.46186675
Thousand_Runs-1911-20200611-02:26:05-46078,1e-7,100,911,Exercise6.client.pppg$o[0].channel,565563.01065345
Thousand_Runs-1199-20200611-02:23:39-45899,1e-7,100,199,Exercise6.client.pppg$o[0].channel,720224.55950842
Thousand_Runs-1636-20200611-02:25:05-46010,1e-7,100,636,Exercise6.client.pppg$o[0].channel,661183.62736282
Thousand_Runs-1296-20200611-02:23:57-45925,1e-7,100,296,Exercise6.client.pppg$o[0].channel,729891.39878506
Thousand_Runs-1733-20200611-02:25:26-46034,1e-7,100,733,Exercise6.client.pppg$o[0].channel,682312.95085818
Thousand_Runs-926-20200611-02:22:53-45642,1e-7,10,926,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1571-20200611-02:24:54-45993,1e-7,100,571,Exercise6.client.pppg$o[0].channel,657206.62410713
Thousand_Runs-2241-20200611-02:33:07-46166,1e-7,1000,241,Exercise6.client.pppg$o[0].channel,773169.54902266
Thousand_Runs-2973-20200611-02:53:12-46368,1e-7,1000,973,Exercise6.client.pppg$o[0].channel,789268.61051976
Thousand_Runs-2144-20200611-02:30:21-46140,1e-7,1000,144,Exercise6.client.pppg$o[0].channel,796061.49669043
Thousand_Runs-764-20200611-02:22:45-45595,1e-7,10,764,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-667-20200611-02:22:40-45566,1e-7,10,667,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2876-20200611-02:50:23-46339,1e-7,1000,876,Exercise6.client.pppg$o[0].channel,776836.1016265
Thousand_Runs-2160-20200611-02:30:47-46144,1e-7,1000,160,Exercise6.client.pppg$o[0].channel,767826.45879208
Thousand_Runs-845-20200611-02:22:49-45618,1e-7,10,845,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-942-20200611-02:22:54-45646,1e-7,10,942,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2779-20200611-02:47:57-46310,1e-7,1000,779,Exercise6.client.pppg$o[0].channel,772058.81664699
Thousand_Runs-1377-20200611-02:24:14-45945,1e-7,100,377,Exercise6.client.pppg$o[0].channel,671873.14611726
Thousand_Runs-1652-20200611-02:25:09-46014,1e-7,100,652,Exercise6.client.pppg$o[0].channel,654660.27657131
Thousand_Runs-113-20200611-02:22:12-45351,1e-7,10,113,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1893-20200611-02:26:00-46074,1e-7,100,893,Exercise6.client.pppg$o[0].channel,693810.81718309
Thousand_Runs-489-20200611-02:22:31-45489,1e-7,10,489,Exercise6.client.pppg$o[0].channel,301496.07181145
Thousand_Runs-210-20200611-02:22:17-45375,1e-7,10,210,Exercise6.client.pppg$o[0].channel,171111.31616991
Thousand_Runs-861-20200611-02:22:50-45624,1e-7,10,861,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-586-20200611-02:22:36-45544,1e-7,10,586,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1990-20200611-02:26:22-46098,1e-7,100,990,Exercise6.client.pppg$o[0].channel,683228.44655015
Thousand_Runs-780-20200611-02:22:46-45600,1e-7,10,780,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1539-20200611-02:24:48-45985,1e-7,100,539,Exercise6.client.pppg$o[0].channel,628700.67342892
Thousand_Runs-192-20200611-02:22:16-45371,1e-7,10,192,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-683-20200611-02:22:41-45571,1e-7,10,683,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1814-20200611-02:25:44-46054,1e-7,100,814,Exercise6.client.pppg$o[0].channel,708619.35236224
Thousand_Runs-507-20200611-02:22:32-45503,1e-7,10,507,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1717-20200611-02:25:23-46030,1e-7,100,717,Exercise6.client.pppg$o[0].channel,691051.62074488
Thousand_Runs-273-20200611-02:22:20-45393,1e-7,10,273,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-620-20200611-02:22:38-45555,1e-7,10,620,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2385-20200611-02:37:06-46202,1e-7,1000,385,Exercise6.client.pppg$o[0].channel,770579.62649767
Thousand_Runs-1027-20200611-02:23:03-45669,1e-7,100,27,Exercise6.client.pppg$o[0].channel,705087.33804911
Thousand_Runs-1152-20200611-02:23:28-45819,1e-7,100,152,Exercise6.client.pppg$o[0].channel,671240.65124998
Thousand_Runs-2635-20200611-02:43:57-46272,1e-7,1000,635,Exercise6.client.pppg$o[0].channel,783779.50140219
Thousand_Runs-2660-20200611-02:44:30-46279,1e-7,1000,660,Exercise6.client.pppg$o[0].channel,783468.84264757
Thousand_Runs-56-20200611-02:22:09-45337,1e-7,10,56,Exercise6.client.pppg$o[0].channel,293118.95923078
Thousand_Runs-81-20200611-02:22:10-45343,1e-7,10,81,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2466-20200611-02:39:26-46228,1e-7,1000,466,Exercise6.client.pppg$o[0].channel,805045.96621017
Thousand_Runs-1233-20200611-02:23:44-45908,1e-7,100,233,Exercise6.client.pppg$o[0].channel,720197.03274148
Thousand_Runs-2741-20200611-02:46:46-46299,1e-7,1000,741,Exercise6.client.pppg$o[0].channel,771221.77816191
Thousand_Runs-426-20200611-02:22:28-45434,1e-7,10,426,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-435-20200611-02:22:28-45441,1e-7,10,435,Exercise6.client.pppg$o[0].channel,176122.50988647
