run,timelimit,repetition,Module,Name,
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[0].pppg$o[0].channel,throughput:last,1291.7206457384
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[1].pppg$o[0].channel,throughput:last,1172.3117368479
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[2].pppg$o[0].channel,throughput:last,1232.4306498065
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[3].pppg$o[0].channel,throughput:last,1278.4555362319
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[4].pppg$o[0].channel,throughput:last,1166.5246056134
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[5].pppg$o[0].channel,throughput:last,1295.3551676936
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[6].pppg$o[0].channel,throughput:last,1231.8411536805
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[7].pppg$o[0].channel,throughput:last,1160.9403705498
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[8].pppg$o[0].channel,throughput:last,1219.6961856282
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[9].pppg$o[0].channel,throughput:last,1178.6393896777
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[10].pppg$o[0].channel,throughput:last,1187.0557987243
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[11].pppg$o[0].channel,throughput:last,1222.2732370902
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[12].pppg$o[0].channel,throughput:last,1324.381613459
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[13].pppg$o[0].channel,throughput:last,1232.9391444447
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[14].pppg$o[0].channel,throughput:last,1172.902284487
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[15].pppg$o[0].channel,throughput:last,1300.1823810869
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[16].pppg$o[0].channel,throughput:last,1236.4026068901
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[17].pppg$o[0].channel,throughput:last,1184.3812616173
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[18].pppg$o[0].channel,throughput:last,1289.4949279895
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[19].pppg$o[0].channel,throughput:last,1293.4355323217
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[20].pppg$o[0].channel,throughput:last,1265.3446324286
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[21].pppg$o[0].channel,throughput:last,1232.368254191
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[22].pppg$o[0].channel,throughput:last,1272.488422528
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[23].pppg$o[0].channel,throughput:last,1304.0565501697
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[24].pppg$o[0].channel,throughput:last,1087.7926276948
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[25].pppg$o[0].channel,throughput:last,1125.6764868481
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[26].pppg$o[0].channel,throughput:last,1252.2197219493
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[27].pppg$o[0].channel,throughput:last,1201.7440123144
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[28].pppg$o[0].channel,throughput:last,1206.4373532533
ISDN04_for_Internet-0-20200622-16:36:55-5884,10000,0,Exercise7.user[29].pppg$o[0].channel,throughput:last,1131.8739497355
