run,time,repetition,Module,Name,
HTTP_Client_Increase_S04a-0-20200816-00:20:19-546,1000,0,FinalTask.Professor.app[0],[VC] Total LOST Packets,14
HTTP_Client_Increase_S04a-0-20200816-00:20:19-546,1000,0,FinalTask.Student.app[0],[VC] Total LOST Packets,447
HTTP_Client_Increase_S04a-1-20200816-02:02:42-546,1000,1,FinalTask.Professor.app[0],[VC] Total LOST Packets,7
HTTP_Client_Increase_S04a-1-20200816-02:02:42-546,1000,1,FinalTask.Student.app[0],[VC] Total LOST Packets,440
HTTP_Client_Increase_S04a-2-20200816-03:33:12-546,1000,2,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
HTTP_Client_Increase_S04a-2-20200816-03:33:12-546,1000,2,FinalTask.Student.app[0],[VC] Total LOST Packets,482
HTTP_Client_Increase_S04a-3-20200816-00:20:19-547,1000,3,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
HTTP_Client_Increase_S04a-3-20200816-00:20:19-547,1000,3,FinalTask.Student.app[0],[VC] Total LOST Packets,464
HTTP_Client_Increase_S04a-4-20200816-02:01:09-547,1000,4,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
HTTP_Client_Increase_S04a-4-20200816-02:01:09-547,1000,4,FinalTask.Student.app[0],[VC] Total LOST Packets,454
HTTP_Client_Increase_S04a-5-20200816-03:29:59-547,1000,5,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Client_Increase_S04a-5-20200816-03:29:59-547,1000,5,FinalTask.Student.app[0],[VC] Total LOST Packets,439
HTTP_Client_Increase_S04a-6-20200816-00:20:19-548,1000,6,FinalTask.Professor.app[0],[VC] Total LOST Packets,16
HTTP_Client_Increase_S04a-6-20200816-00:20:19-548,1000,6,FinalTask.Student.app[0],[VC] Total LOST Packets,448
HTTP_Client_Increase_S04a-7-20200816-02:03:37-548,1000,7,FinalTask.Professor.app[0],[VC] Total LOST Packets,8
HTTP_Client_Increase_S04a-7-20200816-02:03:37-548,1000,7,FinalTask.Student.app[0],[VC] Total LOST Packets,464
HTTP_Client_Increase_S04a-8-20200816-03:33:51-548,1000,8,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
HTTP_Client_Increase_S04a-8-20200816-03:33:51-548,1000,8,FinalTask.Student.app[0],[VC] Total LOST Packets,456
HTTP_Client_Increase_S04a-9-20200816-00:20:19-549,1000,9,FinalTask.Professor.app[0],[VC] Total LOST Packets,14
HTTP_Client_Increase_S04a-9-20200816-00:20:19-549,1000,9,FinalTask.Student.app[0],[VC] Total LOST Packets,478
