run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.Professor.app[0],[VC] Total RCVD Packets,21980
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.Student.app[0],[VC] Total RCVD Packets,24970
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22037
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.Student.app[0],[VC] Total RCVD Packets,24970
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22080
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.Student.app[0],[VC] Total RCVD Packets,24972
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.Professor.app[0],[VC] Total RCVD Packets,21999
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.Student.app[0],[VC] Total RCVD Packets,24971
VC_with_FTP_Only-4-20200816-00:47:23-565,1000,4,FinalTask.Professor.app[0],[VC] Total RCVD Packets,21962
VC_with_FTP_Only-4-20200816-00:47:23-565,1000,4,FinalTask.Student.app[0],[VC] Total RCVD Packets,24968
VC_with_FTP_Only-5-20200816-01:10:14-565,1000,5,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22008
VC_with_FTP_Only-5-20200816-01:10:14-565,1000,5,FinalTask.Student.app[0],[VC] Total RCVD Packets,24971
VC_with_FTP_Only-6-20200816-00:21:11-566,1000,6,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22022
VC_with_FTP_Only-6-20200816-00:21:11-566,1000,6,FinalTask.Student.app[0],[VC] Total RCVD Packets,24971
VC_with_FTP_Only-7-20200816-00:47:31-566,1000,7,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22047
VC_with_FTP_Only-7-20200816-00:47:31-566,1000,7,FinalTask.Student.app[0],[VC] Total RCVD Packets,24970
VC_with_FTP_Only-8-20200816-01:10:02-566,1000,8,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22040
VC_with_FTP_Only-8-20200816-01:10:02-566,1000,8,FinalTask.Student.app[0],[VC] Total RCVD Packets,24972
VC_with_FTP_Only-9-20200816-00:21:11-567,1000,9,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22050
VC_with_FTP_Only-9-20200816-00:21:11-567,1000,9,FinalTask.Student.app[0],[VC] Total RCVD Packets,24970
