run,time,repetition,Module,Name,
VC_with_FTP_and_HTTP-0-20200816-02:21:46-2253,1000,0,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22718
VC_with_FTP_and_HTTP-0-20200816-02:21:46-2253,1000,0,FinalTask.Student.app[0],[VC] Total RCVD Packets,23855
VC_with_FTP_and_HTTP-1-20200816-03:04:04-2253,1000,1,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22737
VC_with_FTP_and_HTTP-1-20200816-03:04:04-2253,1000,1,FinalTask.Student.app[0],[VC] Total RCVD Packets,23862
VC_with_FTP_and_HTTP-2-20200816-03:40:08-2253,1000,2,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22507
VC_with_FTP_and_HTTP-2-20200816-03:40:08-2253,1000,2,FinalTask.Student.app[0],[VC] Total RCVD Packets,23901
VC_with_FTP_and_HTTP-3-20200816-02:21:46-2254,1000,3,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22623
VC_with_FTP_and_HTTP-3-20200816-02:21:46-2254,1000,3,FinalTask.Student.app[0],[VC] Total RCVD Packets,23887
VC_with_FTP_and_HTTP-4-20200816-03:04:17-2254,1000,4,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22746
VC_with_FTP_and_HTTP-4-20200816-03:04:17-2254,1000,4,FinalTask.Student.app[0],[VC] Total RCVD Packets,23910
VC_with_FTP_and_HTTP-5-20200816-03:41:10-2254,1000,5,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22622
VC_with_FTP_and_HTTP-5-20200816-03:41:10-2254,1000,5,FinalTask.Student.app[0],[VC] Total RCVD Packets,23831
VC_with_FTP_and_HTTP-6-20200816-02:21:46-2255,1000,6,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22702
VC_with_FTP_and_HTTP-6-20200816-02:21:46-2255,1000,6,FinalTask.Student.app[0],[VC] Total RCVD Packets,23865
VC_with_FTP_and_HTTP-7-20200816-03:05:20-2255,1000,7,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22603
VC_with_FTP_and_HTTP-7-20200816-03:05:20-2255,1000,7,FinalTask.Student.app[0],[VC] Total RCVD Packets,23854
VC_with_FTP_and_HTTP-8-20200816-03:42:05-2255,1000,8,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22730
VC_with_FTP_and_HTTP-8-20200816-03:42:05-2255,1000,8,FinalTask.Student.app[0],[VC] Total RCVD Packets,23856
VC_with_FTP_and_HTTP-9-20200816-02:21:46-2256,1000,9,FinalTask.Professor.app[0],[VC] Total RCVD Packets,22656
VC_with_FTP_and_HTTP-9-20200816-02:21:46-2256,1000,9,FinalTask.Student.app[0],[VC] Total RCVD Packets,23907
