run,time,repetition,Module,Name,
HTTP_Clients_10-0-20200818-14:43:47-9237,2000,0,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097650986784103
HTTP_Clients_10-0-20200818-14:43:47-9237,2000,0,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.091861010293218
HTTP_Clients_10-10-20200818-14:43:47-9239,2000,10,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097229781547682
HTTP_Clients_10-10-20200818-14:43:47-9239,2000,10,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.091707419193395
HTTP_Clients_10-11-20200818-17:06:02-9239,2000,11,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097419239458786
HTTP_Clients_10-11-20200818-17:06:02-9239,2000,11,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.092246117760938
HTTP_Clients_10-12-20200818-19:31:12-9239,2000,12,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097399674622145
HTTP_Clients_10-12-20200818-19:31:12-9239,2000,12,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.09213534942903
HTTP_Clients_10-13-20200818-22:02:31-9239,2000,13,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097532501814283
HTTP_Clients_10-13-20200818-22:02:31-9239,2000,13,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.092360724553376
HTTP_Clients_10-14-20200819-01:17:56-9239,2000,14,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097090758504386
HTTP_Clients_10-14-20200819-01:17:56-9239,2000,14,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.091696632593296
HTTP_Clients_10-15-20200818-14:43:47-9240,2000,15,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097419598185089
HTTP_Clients_10-15-20200818-14:43:47-9240,2000,15,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.092281274890002
HTTP_Clients_10-16-20200818-17:08:42-9240,2000,16,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097417588932737
HTTP_Clients_10-16-20200818-17:08:42-9240,2000,16,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.091662168951757
HTTP_Clients_10-17-20200818-19:33:42-9240,2000,17,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.097722617446691
HTTP_Clients_10-17-20200818-19:33:42-9240,2000,17,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.092066064560164
HTTP_Clients_10-18-20200818-22:05:10-9240,2000,18,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.098122735955709
