run,time,repetition,Module,Name,
HTTP_Clients_12-0-20200818-21:33:34-14684,2000,0,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47039
HTTP_Clients_12-0-20200818-21:33:34-14684,2000,0,FinalTask.Student.app[0],[VC] Total RCVD Packets,43358
HTTP_Clients_12-10-20200818-21:33:34-14686,2000,10,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47075
HTTP_Clients_12-10-20200818-21:33:34-14686,2000,10,FinalTask.Student.app[0],[VC] Total RCVD Packets,43404
HTTP_Clients_12-11-20200819-01:22:23-14686,2000,11,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47139
HTTP_Clients_12-11-20200819-01:22:23-14686,2000,11,FinalTask.Student.app[0],[VC] Total RCVD Packets,43302
HTTP_Clients_12-12-20200819-05:15:09-14686,2000,12,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47213
HTTP_Clients_12-12-20200819-05:15:09-14686,2000,12,FinalTask.Student.app[0],[VC] Total RCVD Packets,43397
HTTP_Clients_12-13-20200819-09:06:29-14686,2000,13,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47074
HTTP_Clients_12-13-20200819-09:06:29-14686,2000,13,FinalTask.Student.app[0],[VC] Total RCVD Packets,43392
HTTP_Clients_12-14-20200819-12:55:51-14686,2000,14,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47009
HTTP_Clients_12-14-20200819-12:55:51-14686,2000,14,FinalTask.Student.app[0],[VC] Total RCVD Packets,43240
HTTP_Clients_12-15-20200818-21:33:34-14687,2000,15,FinalTask.Professor.app[0],[VC] Total RCVD Packets,46946
HTTP_Clients_12-15-20200818-21:33:34-14687,2000,15,FinalTask.Student.app[0],[VC] Total RCVD Packets,43383
HTTP_Clients_12-16-20200819-01:23:56-14687,2000,16,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47046
HTTP_Clients_12-16-20200819-01:23:56-14687,2000,16,FinalTask.Student.app[0],[VC] Total RCVD Packets,43348
HTTP_Clients_12-17-20200819-05:12:11-14687,2000,17,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47060
HTTP_Clients_12-17-20200819-05:12:11-14687,2000,17,FinalTask.Student.app[0],[VC] Total RCVD Packets,43349
HTTP_Clients_12-18-20200819-09:01:48-14687,2000,18,FinalTask.Professor.app[0],[VC] Total RCVD Packets,46883
HTTP_Clients_12-18-20200819-09:01:48-14687,2000,18,FinalTask.Student.app[0],[VC] Total RCVD Packets,43276
HTTP_Clients_12-19-20200819-12:51:46-14687,2000,19,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47085
HTTP_Clients_12-19-20200819-12:51:46-14687,2000,19,FinalTask.Student.app[0],[VC] Total RCVD Packets,43364
HTTP_Clients_12-1-20200819-01:19:47-14684,2000,1,FinalTask.Professor.app[0],[VC] Total RCVD Packets,47197
HTTP_Clients_12-1-20200819-01:19:47-14684,2000,1,FinalTask.Student.app[0],[VC] Total RCVD Packets,43376
