run,time,repetition,Module,Name,
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,60263
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.AP.wlan[0].mac,packetDrop:count,62536
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1895403
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1897702
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,8906341
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Student.wlan[0].mac,packetDrop:count,8910518
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,8689666
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[0].wlan[0].mac,packetDrop:count,8694839
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,8682926
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[1].wlan[0].mac,packetDrop:count,8688063
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,8683219
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[2].wlan[0].mac,packetDrop:count,8688352
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,8672974
VC_with_FTP_and_HTTP-0-20200817-00:31:58-21455,2000,0,FinalTask.Client[3].wlan[0].mac,packetDrop:count,8678104
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,59027
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.AP.wlan[0].mac,packetDrop:count,60451
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1925014
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1927000
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,8978462
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Student.wlan[0].mac,packetDrop:count,8980161
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,8747121
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[0].wlan[0].mac,packetDrop:count,8752314
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,8742108
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[1].wlan[0].mac,packetDrop:count,8747360
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,8741738
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[2].wlan[0].mac,packetDrop:count,8744859
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,8742449
VC_with_FTP_and_HTTP-10-20200817-00:31:58-21457,2000,10,FinalTask.Client[3].wlan[0].mac,packetDrop:count,8747625
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,58426
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.AP.wlan[0].mac,packetDrop:count,60752
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1901780
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1904190
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,8942178
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Student.wlan[0].mac,packetDrop:count,8946473
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,8705142
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[0].wlan[0].mac,packetDrop:count,8710445
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,8713812
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[1].wlan[0].mac,packetDrop:count,8719078
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,8721847
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[2].wlan[0].mac,packetDrop:count,8727141
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,8723630
VC_with_FTP_and_HTTP-11-20200817-02:14:00-21457,2000,11,FinalTask.Client[3].wlan[0].mac,packetDrop:count,8728900
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,59426
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.AP.wlan[0].mac,packetDrop:count,61789
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1877011
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1879095
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,8924750
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Student.wlan[0].mac,packetDrop:count,8928695
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,8702103
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[0].wlan[0].mac,packetDrop:count,8707250
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,8697376
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[1].wlan[0].mac,packetDrop:count,8701875
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,8710827
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[2].wlan[0].mac,packetDrop:count,8716181
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,8711108
VC_with_FTP_and_HTTP-12-20200817-03:54:40-21457,2000,12,FinalTask.Client[3].wlan[0].mac,packetDrop:count,8713584
VC_with_FTP_and_HTTP-13-20200817-05:35:56-21457,2000,13,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,59535
VC_with_FTP_and_HTTP-13-20200817-05:35:56-21457,2000,13,FinalTask.AP.wlan[0].mac,packetDrop:count,61863
VC_with_FTP_and_HTTP-13-20200817-05:35:56-21457,2000,13,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1885568
VC_with_FTP_and_HTTP-13-20200817-05:35:56-21457,2000,13,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1887693
