run,time,repetition,Module,Name,
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Student.app[0],[VC] Total LOST Packets,588
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Professor.app[0],[VC] Total LOST Packets,9
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Student.app[0],[VC] Total LOST Packets,611
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Professor.app[0],[VC] Total LOST Packets,17
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Student.app[0],[VC] Total LOST Packets,571
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Professor.app[0],[VC] Total LOST Packets,9
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Student.app[0],[VC] Total LOST Packets,617
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Student.app[0],[VC] Total LOST Packets,614
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.Professor.app[0],[VC] Total LOST Packets,17
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.Student.app[0],[VC] Total LOST Packets,566
HTTP_Clients_7-15-20200817-00:34:45-14530,2000,15,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
HTTP_Clients_7-15-20200817-00:34:45-14530,2000,15,FinalTask.Student.app[0],[VC] Total LOST Packets,628
HTTP_Clients_7-16-20200817-02:59:20-14530,2000,16,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_7-16-20200817-02:59:20-14530,2000,16,FinalTask.Student.app[0],[VC] Total LOST Packets,643
HTTP_Clients_7-17-20200817-05:22:54-14530,2000,17,FinalTask.Professor.app[0],[VC] Total LOST Packets,7
HTTP_Clients_7-17-20200817-05:22:54-14530,2000,17,FinalTask.Student.app[0],[VC] Total LOST Packets,734
HTTP_Clients_7-18-20200817-07:48:15-14530,2000,18,FinalTask.Professor.app[0],[VC] Total LOST Packets,8
HTTP_Clients_7-18-20200817-07:48:15-14530,2000,18,FinalTask.Student.app[0],[VC] Total LOST Packets,714
HTTP_Clients_7-19-20200817-10:12:15-14530,2000,19,FinalTask.Professor.app[0],[VC] Total LOST Packets,9
HTTP_Clients_7-19-20200817-10:12:15-14530,2000,19,FinalTask.Student.app[0],[VC] Total LOST Packets,607
HTTP_Clients_7-1-20200817-02:58:33-14527,2000,1,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Clients_7-1-20200817-02:58:33-14527,2000,1,FinalTask.Student.app[0],[VC] Total LOST Packets,581
HTTP_Clients_7-20-20200817-12:37:50-24561,2000,20,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
HTTP_Clients_7-20-20200817-12:37:50-24561,2000,20,FinalTask.Student.app[0],[VC] Total LOST Packets,624
HTTP_Clients_7-21-20200817-15:03:12-24561,2000,21,FinalTask.Professor.app[0],[VC] Total LOST Packets,7
HTTP_Clients_7-21-20200817-15:03:12-24561,2000,21,FinalTask.Student.app[0],[VC] Total LOST Packets,596
HTTP_Clients_7-22-20200817-17:30:50-24561,2000,22,FinalTask.Professor.app[0],[VC] Total LOST Packets,14
HTTP_Clients_7-22-20200817-17:30:50-24561,2000,22,FinalTask.Student.app[0],[VC] Total LOST Packets,583
HTTP_Clients_7-23-20200817-19:50:07-24561,2000,23,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Clients_7-23-20200817-19:50:07-24561,2000,23,FinalTask.Student.app[0],[VC] Total LOST Packets,563
HTTP_Clients_7-24-20200817-21:36:41-24561,2000,24,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_7-24-20200817-21:36:41-24561,2000,24,FinalTask.Student.app[0],[VC] Total LOST Packets,591
HTTP_Clients_7-25-20200817-12:38:56-24571,2000,25,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
HTTP_Clients_7-25-20200817-12:38:56-24571,2000,25,FinalTask.Student.app[0],[VC] Total LOST Packets,595
HTTP_Clients_7-26-20200817-15:01:29-24571,2000,26,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Clients_7-26-20200817-15:01:29-24571,2000,26,FinalTask.Student.app[0],[VC] Total LOST Packets,579
HTTP_Clients_7-27-20200817-17:21:28-24571,2000,27,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
HTTP_Clients_7-27-20200817-17:21:28-24571,2000,27,FinalTask.Student.app[0],[VC] Total LOST Packets,588
HTTP_Clients_7-28-20200817-19:40:28-24571,2000,28,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Clients_7-28-20200817-19:40:28-24571,2000,28,FinalTask.Student.app[0],[VC] Total LOST Packets,581
HTTP_Clients_7-29-20200817-21:23:25-24571,2000,29,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Clients_7-29-20200817-21:23:25-24571,2000,29,FinalTask.Student.app[0],[VC] Total LOST Packets,622
HTTP_Clients_7-2-20200817-05:22:59-14527,2000,2,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_7-2-20200817-05:22:59-14527,2000,2,FinalTask.Student.app[0],[VC] Total LOST Packets,605
HTTP_Clients_7-30-20200817-12:40:37-24599,2000,30,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
HTTP_Clients_7-30-20200817-12:40:37-24599,2000,30,FinalTask.Student.app[0],[VC] Total LOST Packets,599
HTTP_Clients_7-31-20200817-15:04:44-24599,2000,31,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_7-31-20200817-15:04:44-24599,2000,31,FinalTask.Student.app[0],[VC] Total LOST Packets,573
HTTP_Clients_7-32-20200817-17:32:23-24599,2000,32,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Clients_7-32-20200817-17:32:23-24599,2000,32,FinalTask.Student.app[0],[VC] Total LOST Packets,601
