run,time,repetition,Module,Name,
HTTP_Clients_9-0-20200817-00:37:32-10056,2000,0,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:max,3
HTTP_Clients_9-0-20200817-00:37:32-10056,2000,0,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:max,17
HTTP_Clients_9-0-20200817-00:37:32-10056,2000,0,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:max,71
HTTP_Clients_9-0-20200817-00:37:32-10056,2000,0,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:max,8
HTTP_Clients_9-10-20200817-00:37:32-10058,2000,10,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:max,3
HTTP_Clients_9-10-20200817-00:37:32-10058,2000,10,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:max,17
HTTP_Clients_9-10-20200817-00:37:32-10058,2000,10,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:max,71
HTTP_Clients_9-10-20200817-00:37:32-10058,2000,10,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:max,8
HTTP_Clients_9-11-20200817-03:19:57-10058,2000,11,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:max,3
HTTP_Clients_9-11-20200817-03:19:57-10058,2000,11,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:max,25
HTTP_Clients_9-11-20200817-03:19:57-10058,2000,11,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:max,71
HTTP_Clients_9-11-20200817-03:19:57-10058,2000,11,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:max,10
HTTP_Clients_9-12-20200817-06:19:38-10058,2000,12,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:max,3
HTTP_Clients_9-12-20200817-06:19:38-10058,2000,12,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:max,25
HTTP_Clients_9-12-20200817-06:19:38-10058,2000,12,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:max,71
HTTP_Clients_9-12-20200817-06:19:38-10058,2000,12,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:max,8
HTTP_Clients_9-13-20200817-09:17:38-10058,2000,13,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:max,3
HTTP_Clients_9-13-20200817-09:17:38-10058,2000,13,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:max,26
HTTP_Clients_9-13-20200817-09:17:38-10058,2000,13,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:max,71
