run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00058
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01968
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0007
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01944
VC_with_HTTP_Only-11-20200817-09:41:12-22288,2000,11,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00056
VC_with_HTTP_Only-11-20200817-09:41:12-22288,2000,11,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0193
VC_with_HTTP_Only-12-20200817-09:59:55-22288,2000,12,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0007
VC_with_HTTP_Only-12-20200817-09:59:55-22288,2000,12,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01994
VC_with_HTTP_Only-13-20200817-10:18:44-22288,2000,13,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00066
VC_with_HTTP_Only-13-20200817-10:18:44-22288,2000,13,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01994
VC_with_HTTP_Only-14-20200817-10:37:12-22288,2000,14,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0007
VC_with_HTTP_Only-14-20200817-10:37:12-22288,2000,14,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01874
VC_with_HTTP_Only-15-20200817-09:22:45-22289,2000,15,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0007
VC_with_HTTP_Only-15-20200817-09:22:45-22289,2000,15,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01966
VC_with_HTTP_Only-16-20200817-09:40:29-22289,2000,16,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00064
VC_with_HTTP_Only-16-20200817-09:40:29-22289,2000,16,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01942
