run,time,repetition,Module,Name,
HTTP_Clients_3-0-20200817-17:08:39-2946,2000,0,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10214
HTTP_Clients_3-0-20200817-17:08:39-2946,2000,0,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03428
HTTP_Clients_3-10-20200817-17:08:39-2948,2000,10,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10316
HTTP_Clients_3-10-20200817-17:08:39-2948,2000,10,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03394
HTTP_Clients_3-11-20200817-18:12:20-2948,2000,11,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10272
HTTP_Clients_3-11-20200817-18:12:20-2948,2000,11,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03408
HTTP_Clients_3-12-20200817-19:16:31-2948,2000,12,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10344
HTTP_Clients_3-12-20200817-19:16:31-2948,2000,12,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03338
HTTP_Clients_3-13-20200817-20:20:48-2948,2000,13,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10228
HTTP_Clients_3-13-20200817-20:20:48-2948,2000,13,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0333
HTTP_Clients_3-14-20200817-21:25:06-2948,2000,14,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10274
HTTP_Clients_3-14-20200817-21:25:06-2948,2000,14,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03448
HTTP_Clients_3-15-20200817-17:08:39-2949,2000,15,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.1013
HTTP_Clients_3-15-20200817-17:08:39-2949,2000,15,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03394
HTTP_Clients_3-16-20200817-18:11:53-2949,2000,16,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10148
HTTP_Clients_3-16-20200817-18:11:53-2949,2000,16,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03396
HTTP_Clients_3-17-20200817-19:14:11-2949,2000,17,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10272
HTTP_Clients_3-17-20200817-19:14:11-2949,2000,17,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03428
HTTP_Clients_3-18-20200817-20:17:16-2949,2000,18,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.09766
HTTP_Clients_3-18-20200817-20:17:16-2949,2000,18,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03394
HTTP_Clients_3-19-20200817-21:20:12-2949,2000,19,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10052
HTTP_Clients_3-19-20200817-21:20:12-2949,2000,19,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03444
HTTP_Clients_3-1-20200817-18:13:40-2946,2000,1,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10066
HTTP_Clients_3-1-20200817-18:13:40-2946,2000,1,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0339
HTTP_Clients_3-20-20200817-22:32:33-7313,2000,20,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.1018
HTTP_Clients_3-20-20200817-22:32:33-7313,2000,20,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03426
HTTP_Clients_3-21-20200817-23:58:14-7313,2000,21,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.09716
HTTP_Clients_3-21-20200817-23:58:14-7313,2000,21,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03348
HTTP_Clients_3-22-20200818-01:24:22-7313,2000,22,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10276
HTTP_Clients_3-22-20200818-01:24:22-7313,2000,22,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0347
HTTP_Clients_3-23-20200818-02:52:00-7313,2000,23,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10464
HTTP_Clients_3-23-20200818-02:52:00-7313,2000,23,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0337
HTTP_Clients_3-24-20200818-04:20:02-7313,2000,24,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.1015
HTTP_Clients_3-24-20200818-04:20:02-7313,2000,24,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03474
HTTP_Clients_3-25-20200817-22:33:48-7333,2000,25,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10138
HTTP_Clients_3-25-20200817-22:33:48-7333,2000,25,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03316
HTTP_Clients_3-26-20200818-00:01:44-7333,2000,26,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.1004
HTTP_Clients_3-26-20200818-00:01:44-7333,2000,26,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03464
HTTP_Clients_3-27-20200818-01:27:56-7333,2000,27,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10246
HTTP_Clients_3-27-20200818-01:27:56-7333,2000,27,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0354
HTTP_Clients_3-28-20200818-02:54:55-7333,2000,28,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.09784
HTTP_Clients_3-28-20200818-02:54:55-7333,2000,28,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03276
HTTP_Clients_3-29-20200818-04:19:21-7333,2000,29,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.1052
HTTP_Clients_3-29-20200818-04:19:21-7333,2000,29,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0338
HTTP_Clients_3-2-20200817-19:17:19-2946,2000,2,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10372
HTTP_Clients_3-2-20200817-19:17:19-2946,2000,2,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03428
HTTP_Clients_3-30-20200817-22:40:41-7403,2000,30,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10124
HTTP_Clients_3-30-20200817-22:40:41-7403,2000,30,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03398
HTTP_Clients_3-31-20200818-00:07:18-7403,2000,31,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10062
HTTP_Clients_3-31-20200818-00:07:18-7403,2000,31,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0347
HTTP_Clients_3-32-20200818-01:34:58-7403,2000,32,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10162
HTTP_Clients_3-32-20200818-01:34:58-7403,2000,32,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03466
HTTP_Clients_3-33-20200818-03:02:14-7403,2000,33,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10302
HTTP_Clients_3-33-20200818-03:02:14-7403,2000,33,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03398
HTTP_Clients_3-34-20200818-04:30:53-7403,2000,34,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10006
HTTP_Clients_3-34-20200818-04:30:53-7403,2000,34,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0342
HTTP_Clients_3-35-20200817-22:40:41-7422,2000,35,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10474
HTTP_Clients_3-35-20200817-22:40:41-7422,2000,35,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03284
HTTP_Clients_3-36-20200818-00:08:49-7422,2000,36,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10254
HTTP_Clients_3-36-20200818-00:08:49-7422,2000,36,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0338
HTTP_Clients_3-37-20200818-01:37:04-7422,2000,37,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10532
HTTP_Clients_3-37-20200818-01:37:04-7422,2000,37,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03396
HTTP_Clients_3-38-20200818-03:04:11-7422,2000,38,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.09708
HTTP_Clients_3-38-20200818-03:04:11-7422,2000,38,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03428
HTTP_Clients_3-39-20200818-04:34:29-7422,2000,39,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.1039
HTTP_Clients_3-39-20200818-04:34:29-7422,2000,39,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03438
HTTP_Clients_3-3-20200817-20:21:38-2946,2000,3,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10154
HTTP_Clients_3-3-20200817-20:21:38-2946,2000,3,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03334
HTTP_Clients_3-40-20200818-05:49:48-13394,2000,40,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10248
HTTP_Clients_3-40-20200818-05:49:48-13394,2000,40,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03364
HTTP_Clients_3-41-20200818-06:57:38-13394,2000,41,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.10286
HTTP_Clients_3-41-20200818-06:57:38-13394,2000,41,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0348
HTTP_Clients_3-42-20200818-07:59:38-13394,2000,42,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0982
HTTP_Clients_3-42-20200818-07:59:38-13394,2000,42,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.03312
