run,time,repetition,Module,Name,
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Professor.app[0],[VC] Total LATE Packets,4528
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Student.app[0],[VC] Total LATE Packets,2361
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Professor.app[0],[VC] Total LATE Packets,4440
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Student.app[0],[VC] Total LATE Packets,2301
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Professor.app[0],[VC] Total LATE Packets,4665
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Student.app[0],[VC] Total LATE Packets,2328
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Professor.app[0],[VC] Total LATE Packets,4574
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Student.app[0],[VC] Total LATE Packets,2400
HTTP_Clients_5-13-20200817-06:16:50-14468,2000,13,FinalTask.Professor.app[0],[VC] Total LATE Packets,4557
HTTP_Clients_5-13-20200817-06:16:50-14468,2000,13,FinalTask.Student.app[0],[VC] Total LATE Packets,2411
HTTP_Clients_5-14-20200817-08:11:04-14468,2000,14,FinalTask.Professor.app[0],[VC] Total LATE Packets,4454
HTTP_Clients_5-14-20200817-08:11:04-14468,2000,14,FinalTask.Student.app[0],[VC] Total LATE Packets,2395
HTTP_Clients_5-15-20200817-00:34:14-14469,2000,15,FinalTask.Professor.app[0],[VC] Total LATE Packets,4673
HTTP_Clients_5-15-20200817-00:34:14-14469,2000,15,FinalTask.Student.app[0],[VC] Total LATE Packets,2292
HTTP_Clients_5-16-20200817-02:24:54-14469,2000,16,FinalTask.Professor.app[0],[VC] Total LATE Packets,4552
HTTP_Clients_5-16-20200817-02:24:54-14469,2000,16,FinalTask.Student.app[0],[VC] Total LATE Packets,2416
