run,time,repetition,Module,Name,
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,72907
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.AP.wlan[0].mac,packetDrop:count,75494
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,2330593
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,2333389
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,9284497
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Student.wlan[0].mac,packetDrop:count,9289769
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9054984
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9061344
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9050298
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9056588
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9051392
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9057714
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9060997
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9067273
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9073122
HTTP_Clients_5-0-20200817-00:34:14-14466,2000,0,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9078204
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,71345
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.AP.wlan[0].mac,packetDrop:count,73043
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,2344212
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,2346592
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,9122915
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Student.wlan[0].mac,packetDrop:count,9124913
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,8876274
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[0].wlan[0].mac,packetDrop:count,8882457
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,8898204
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[1].wlan[0].mac,packetDrop:count,8904383
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,8890682
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[2].wlan[0].mac,packetDrop:count,8894144
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,8889542
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[3].wlan[0].mac,packetDrop:count,8895769
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,8894894
HTTP_Clients_5-10-20200817-00:34:14-14468,2000,10,FinalTask.Client[4].wlan[0].mac,packetDrop:count,8901075
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,72341
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.AP.wlan[0].mac,packetDrop:count,75022
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,2333294
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,2336182
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,9348798
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Student.wlan[0].mac,packetDrop:count,9354336
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9126146
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9132632
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9122260
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9128722
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9117715
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9124184
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9114755
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9121231
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9125129
HTTP_Clients_5-11-20200817-02:25:03-14468,2000,11,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9131659
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,74146
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.AP.wlan[0].mac,packetDrop:count,76932
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,2314623
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,2317121
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,9356458
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Student.wlan[0].mac,packetDrop:count,9361538
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9128721
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9134994
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9134308
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9139923
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9137593
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9144020
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9119909
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9122781
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9146128
HTTP_Clients_5-12-20200817-04:21:12-14468,2000,12,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9152582
HTTP_Clients_5-13-20200817-06:16:50-14468,2000,13,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,74483
HTTP_Clients_5-13-20200817-06:16:50-14468,2000,13,FinalTask.AP.wlan[0].mac,packetDrop:count,77267
