run,time,repetition,Module,Name,
HTTP_Clients_9-0-20200817-00:37:32-10056,2000,0,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_9-0-20200817-00:37:32-10056,2000,0,FinalTask.Student.app[0],[VC] Total LOST Packets,757
HTTP_Clients_9-10-20200817-00:37:32-10058,2000,10,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_9-10-20200817-00:37:32-10058,2000,10,FinalTask.Student.app[0],[VC] Total LOST Packets,726
HTTP_Clients_9-11-20200817-03:19:57-10058,2000,11,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
HTTP_Clients_9-11-20200817-03:19:57-10058,2000,11,FinalTask.Student.app[0],[VC] Total LOST Packets,776
HTTP_Clients_9-12-20200817-06:19:38-10058,2000,12,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Clients_9-12-20200817-06:19:38-10058,2000,12,FinalTask.Student.app[0],[VC] Total LOST Packets,743
HTTP_Clients_9-13-20200817-09:17:38-10058,2000,13,FinalTask.Professor.app[0],[VC] Total LOST Packets,9
HTTP_Clients_9-13-20200817-09:17:38-10058,2000,13,FinalTask.Student.app[0],[VC] Total LOST Packets,731
HTTP_Clients_9-14-20200817-12:15:16-10058,2000,14,FinalTask.Professor.app[0],[VC] Total LOST Packets,18
HTTP_Clients_9-14-20200817-12:15:16-10058,2000,14,FinalTask.Student.app[0],[VC] Total LOST Packets,853
HTTP_Clients_9-15-20200817-00:37:32-10059,2000,15,FinalTask.Professor.app[0],[VC] Total LOST Packets,8
HTTP_Clients_9-15-20200817-00:37:32-10059,2000,15,FinalTask.Student.app[0],[VC] Total LOST Packets,742
HTTP_Clients_9-16-20200817-03:20:23-10059,2000,16,FinalTask.Professor.app[0],[VC] Total LOST Packets,17
HTTP_Clients_9-16-20200817-03:20:23-10059,2000,16,FinalTask.Student.app[0],[VC] Total LOST Packets,733
HTTP_Clients_9-17-20200817-06:17:37-10059,2000,17,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
HTTP_Clients_9-17-20200817-06:17:37-10059,2000,17,FinalTask.Student.app[0],[VC] Total LOST Packets,776
