run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10970350688997
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072624433211437
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10990196172446
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072631326492614
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.1095145539205
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072614027434311
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10930074873797
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.07260658011379
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10957347925611
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072623848941921
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10999055018999
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072637915152547
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.11004567269052
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072624872236919
VC_with_FTP_Only-16-20200817-01:41:24-14827,2000,16,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10948757033648
VC_with_FTP_Only-16-20200817-01:41:24-14827,2000,16,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072615563169653
VC_with_FTP_Only-17-20200817-02:25:53-14827,2000,17,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10941369825615
VC_with_FTP_Only-17-20200817-02:25:53-14827,2000,17,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072611441587372
VC_with_FTP_Only-18-20200817-03:12:47-14827,2000,18,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10938825397265
VC_with_FTP_Only-18-20200817-03:12:47-14827,2000,18,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072615211183398
