run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.AP.ethg$o[0].channel,throughput:last,7870643.8242698
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7772478.8664715
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.DRouter.ethg$o[0].channel,throughput:last,650586.51255588
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,522683.50471093
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7870639.8535414
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7769152.2262829
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,650600.88183298
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.LRouter.pppg$o[0].channel,throughput:last,522696.49466803
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7574151.6164603
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293118.32405427
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,357404.03082907
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.AP.ethg$o[0].channel,throughput:last,7888738.4027016
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7790345.2252394
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.DRouter.ethg$o[0].channel,throughput:last,651460.62021234
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,523254.10692075
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7888732.7414117
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7787238.2483592
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,651474.97053866
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.LRouter.pppg$o[0].channel,throughput:last,523267.47552576
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7592450.6634608
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293140.46730092
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,358278.38536947
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.AP.ethg$o[0].channel,throughput:last,7874831.3765529
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7776610.3260697
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.DRouter.ethg$o[0].channel,throughput:last,650794.19194046
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,522819.16465582
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7874822.6303957
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7773503.756779
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,650807.29260315
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.LRouter.pppg$o[0].channel,throughput:last,522831.94868599
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7578540.4679128
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293137.29411962
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,357611.45515423
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.AP.ethg$o[0].channel,throughput:last,7857442.3568181
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7759441.8535816
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.DRouter.ethg$o[0].channel,throughput:last,649966.4539304
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,522278.788454
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7857437.8128845
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7756183.9759941
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,649980.31353325
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.LRouter.pppg$o[0].channel,throughput:last,522291.95070344
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7561019.6558932
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293121.31886104
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,356784.11708448
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.AP.ethg$o[0].channel,throughput:last,7874576.0539068
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7776362.3480028
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.DRouter.ethg$o[0].channel,throughput:last,650786.16235809
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,522813.88493967
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7874571.2125394
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7773367.9879152
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,650800.59787623
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.LRouter.pppg$o[0].channel,throughput:last,522827.0472336
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7578402.5819577
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293139.60081486
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,357603.79854004
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.AP.ethg$o[0].channel,throughput:last,7905300.4819394
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7806703.2367532
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.DRouter.ethg$o[0].channel,throughput:last,652250.45530643
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,523769.71460744
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7905296.7918733
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7803952.5739896
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,652265.17866636
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.LRouter.pppg$o[0].channel,throughput:last,523782.87697489
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7609362.1403636
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293151.68635125
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,359068.17607502
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.AP.ethg$o[0].channel,throughput:last,7899009.441014
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7800491.123752
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.DRouter.ethg$o[0].channel,throughput:last,651957.94368308
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,523578.7840188
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7899003.2038181
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7797854.9617919
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,651971.63424626
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.LRouter.pppg$o[0].channel,throughput:last,523591.43478742
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7603192.9377407
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293142.47640077
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,358774.95214206
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
