run,time,repetition,Module,Name,
HTTP_Clients_2-0-20200817-00:32:32-21516,2000,0,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-0-20200817-00:32:32-21516,2000,0,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-10-20200817-00:32:33-21518,2000,10,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-10-20200817-00:32:33-21518,2000,10,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-11-20200817-01:51:22-21518,2000,11,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-11-20200817-01:51:22-21518,2000,11,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-12-20200817-03:08:44-21518,2000,12,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-12-20200817-03:08:44-21518,2000,12,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-13-20200817-04:27:31-21518,2000,13,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-13-20200817-04:27:31-21518,2000,13,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-14-20200817-05:44:38-21518,2000,14,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-14-20200817-05:44:38-21518,2000,14,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-15-20200817-00:32:34-21519,2000,15,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-15-20200817-00:32:34-21519,2000,15,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-16-20200817-01:48:48-21519,2000,16,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-16-20200817-01:48:48-21519,2000,16,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-17-20200817-03:02:34-21519,2000,17,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-17-20200817-03:02:34-21519,2000,17,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-18-20200817-04:18:42-21519,2000,18,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-18-20200817-04:18:42-21519,2000,18,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-19-20200817-05:34:03-21519,2000,19,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-19-20200817-05:34:03-21519,2000,19,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-1-20200817-01:49:15-21516,2000,1,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-1-20200817-01:49:15-21516,2000,1,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-20-20200817-06:48:26-27065,2000,20,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-20-20200817-06:48:26-27065,2000,20,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-21-20200817-08:03:48-27065,2000,21,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-21-20200817-08:03:48-27065,2000,21,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-22-20200817-09:18:51-27065,2000,22,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-22-20200817-09:18:51-27065,2000,22,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-23-20200817-10:32:44-27065,2000,23,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-23-20200817-10:32:44-27065,2000,23,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-24-20200817-11:48:20-27065,2000,24,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-24-20200817-11:48:20-27065,2000,24,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-25-20200817-06:50:14-27092,2000,25,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_2-25-20200817-06:50:14-27092,2000,25,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
