run,time,repetition,Module,Name,
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,97679
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.AP.wlan[0].mac,packetDrop:count,101347
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,3159714
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,3163475
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,10041588
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Student.wlan[0].mac,packetDrop:count,10049541
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9801312
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9809704
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9819350
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9828361
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9819977
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9829068
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9822213
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9831161
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9830515
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9836716
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[5].wlan[0].mac.dcf,packetDrop:count,9817426
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[5].wlan[0].mac,packetDrop:count,9826442
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[6].wlan[0].mac.dcf,packetDrop:count,9817502
HTTP_Clients_7-0-20200817-00:34:44-14527,2000,0,FinalTask.Client[6].wlan[0].mac,packetDrop:count,9826546
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,101208
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.AP.wlan[0].mac,packetDrop:count,103880
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,3201637
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,3204983
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,10094739
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Student.wlan[0].mac,packetDrop:count,10098313
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9861179
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9869933
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9867312
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9876101
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9855103
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9859958
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9863676
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9872473
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9850395
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9859146
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[5].wlan[0].mac.dcf,packetDrop:count,9865392
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[5].wlan[0].mac,packetDrop:count,9874068
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[6].wlan[0].mac.dcf,packetDrop:count,9859416
HTTP_Clients_7-10-20200817-00:34:44-14529,2000,10,FinalTask.Client[6].wlan[0].mac,packetDrop:count,9868209
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,100401
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.AP.wlan[0].mac,packetDrop:count,104091
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,3182204
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,3186291
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,10101851
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Student.wlan[0].mac,packetDrop:count,10109713
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9880326
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9889552
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9875026
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9884130
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9874419
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9883514
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9891647
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9900489
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9859283
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9868465
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[5].wlan[0].mac.dcf,packetDrop:count,9865810
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[5].wlan[0].mac,packetDrop:count,9874611
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[6].wlan[0].mac.dcf,packetDrop:count,9873750
HTTP_Clients_7-11-20200817-02:59:00-14529,2000,11,FinalTask.Client[6].wlan[0].mac,packetDrop:count,9882818
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,100330
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.AP.wlan[0].mac,packetDrop:count,104053
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,3143810
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,3147291
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,10094512
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Student.wlan[0].mac,packetDrop:count,10102188
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9875670
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9884470
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9862759
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9870922
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9854885
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9863943
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9880518
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9884789
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9879253
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9888310
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[5].wlan[0].mac.dcf,packetDrop:count,9870826
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[5].wlan[0].mac,packetDrop:count,9879912
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[6].wlan[0].mac.dcf,packetDrop:count,9888228
HTTP_Clients_7-12-20200817-05:26:29-14529,2000,12,FinalTask.Client[6].wlan[0].mac,packetDrop:count,9897224
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,101516
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.AP.wlan[0].mac,packetDrop:count,105076
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,3147720
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,3151189
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,10089861
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Student.wlan[0].mac,packetDrop:count,10097774
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,9869609
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[0].wlan[0].mac,packetDrop:count,9878543
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,9864597
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[1].wlan[0].mac,packetDrop:count,9873525
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,9860353
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[2].wlan[0].mac,packetDrop:count,9867935
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,9879905
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[3].wlan[0].mac,packetDrop:count,9888865
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[4].wlan[0].mac.dcf,packetDrop:count,9868958
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[4].wlan[0].mac,packetDrop:count,9877870
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[5].wlan[0].mac.dcf,packetDrop:count,9870297
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[5].wlan[0].mac,packetDrop:count,9879191
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[6].wlan[0].mac.dcf,packetDrop:count,9860641
HTTP_Clients_7-13-20200817-07:53:19-14529,2000,13,FinalTask.Client[6].wlan[0].mac,packetDrop:count,9869602
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,99320
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.AP.wlan[0].mac,packetDrop:count,102991
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,3153559
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,3157404
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,10047283
HTTP_Clients_7-14-20200817-10:16:37-14529,2000,14,FinalTask.Student.wlan[0].mac,packetDrop:count,10055322
