run,time,repetition,Module,Name,
HTTP_Clients_8-0-20200818-07:19:00-7493,2000,0,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07376
HTTP_Clients_8-0-20200818-07:19:00-7493,2000,0,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0879
HTTP_Clients_8-10-20200818-07:19:00-7495,2000,10,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0778
HTTP_Clients_8-10-20200818-07:19:00-7495,2000,10,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0886
HTTP_Clients_8-11-20200818-09:58:34-7495,2000,11,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07816
HTTP_Clients_8-11-20200818-09:58:34-7495,2000,11,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.08942
HTTP_Clients_8-12-20200818-12:41:32-7495,2000,12,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07668
HTTP_Clients_8-12-20200818-12:41:32-7495,2000,12,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.08966
HTTP_Clients_8-13-20200818-15:23:13-7495,2000,13,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07922
HTTP_Clients_8-13-20200818-15:23:13-7495,2000,13,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0901
HTTP_Clients_8-14-20200818-18:02:35-7495,2000,14,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.08198
HTTP_Clients_8-14-20200818-18:02:35-7495,2000,14,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0904
HTTP_Clients_8-15-20200818-07:19:00-7496,2000,15,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07916
HTTP_Clients_8-15-20200818-07:19:00-7496,2000,15,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.08972
HTTP_Clients_8-16-20200818-10:00:19-7496,2000,16,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07866
HTTP_Clients_8-16-20200818-10:00:19-7496,2000,16,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.08922
HTTP_Clients_8-17-20200818-12:41:07-7496,2000,17,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07768
HTTP_Clients_8-17-20200818-12:41:07-7496,2000,17,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.08914
HTTP_Clients_8-18-20200818-15:21:27-7496,2000,18,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07724
HTTP_Clients_8-18-20200818-15:21:27-7496,2000,18,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0902
HTTP_Clients_8-19-20200818-18:03:28-7496,2000,19,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.07776
HTTP_Clients_8-19-20200818-18:03:28-7496,2000,19,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.08994
