run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.Professor.app[0],[VC] Total LATE Packets,6069
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.Student.app[0],[VC] Total LATE Packets,41
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.Professor.app[0],[VC] Total LATE Packets,6052
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.Student.app[0],[VC] Total LATE Packets,43
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.Professor.app[0],[VC] Total LATE Packets,6073
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.Student.app[0],[VC] Total LATE Packets,35
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.Professor.app[0],[VC] Total LATE Packets,6048
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.Student.app[0],[VC] Total LATE Packets,34
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.Professor.app[0],[VC] Total LATE Packets,6060
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.Student.app[0],[VC] Total LATE Packets,40
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.Professor.app[0],[VC] Total LATE Packets,6165
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.Student.app[0],[VC] Total LATE Packets,45
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.Professor.app[0],[VC] Total LATE Packets,6119
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.Student.app[0],[VC] Total LATE Packets,38
VC_with_FTP_Only-16-20200817-01:41:24-14827,2000,16,FinalTask.Professor.app[0],[VC] Total LATE Packets,6027
VC_with_FTP_Only-16-20200817-01:41:24-14827,2000,16,FinalTask.Student.app[0],[VC] Total LATE Packets,38
VC_with_FTP_Only-17-20200817-02:25:53-14827,2000,17,FinalTask.Professor.app[0],[VC] Total LATE Packets,6070
