run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.AP.wlan[0].mac,packetDrop:count,760
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,200045
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,200777
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,7447410
VC_with_FTP_Only-0-20200817-00:56:19-14824,2000,0,FinalTask.Student.wlan[0].mac,packetDrop:count,7447426
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.AP.wlan[0].mac,packetDrop:count,0
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,200141
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,200896
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,7466200
VC_with_FTP_Only-10-20200817-00:56:19-14826,2000,10,FinalTask.Student.wlan[0].mac,packetDrop:count,7466203
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.AP.wlan[0].mac,packetDrop:count,712
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,200906
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,201625
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,7451604
VC_with_FTP_Only-11-20200817-01:43:08-14826,2000,11,FinalTask.Student.wlan[0].mac,packetDrop:count,7451667
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.AP.wlan[0].mac,packetDrop:count,813
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,200045
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,200824
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,7434448
VC_with_FTP_Only-12-20200817-02:30:11-14826,2000,12,FinalTask.Student.wlan[0].mac,packetDrop:count,7434506
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.AP.wlan[0].mac,packetDrop:count,725
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,200045
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,200789
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,7451372
VC_with_FTP_Only-13-20200817-03:19:16-14826,2000,13,FinalTask.Student.wlan[0].mac,packetDrop:count,7451419
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.AP.wlan[0].mac,packetDrop:count,763
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,200839
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,201605
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,7481701
VC_with_FTP_Only-14-20200817-04:06:31-14826,2000,14,FinalTask.Student.wlan[0].mac,packetDrop:count,7481710
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.AP.wlan[0].mac,packetDrop:count,733
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,200909
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,201661
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,7475519
VC_with_FTP_Only-15-20200817-00:56:19-14827,2000,15,FinalTask.Student.wlan[0].mac,packetDrop:count,7475578
