run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.AP.ethg$o[0].channel,throughput:last,449413.46026243
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.DRouter.pppg$o[0].channel,throughput:last,391820.80525028
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.DRouter.ethg$o[0].channel,throughput:last,3669810.966348
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,3623521.3052146
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,156199.95644023
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,293208.54443577
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,3376673.8909289
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,289391.15654237
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,293206.92585585
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.LRouter.pppg$o[0].channel,throughput:last,289399.98302201
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.LRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293195.72433946
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-0-20200817-09:22:45-22286,2000,0,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.AP.ethg$o[0].channel,throughput:last,448629.20584202
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.DRouter.pppg$o[0].channel,throughput:last,391308.51774308
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.DRouter.ethg$o[0].channel,throughput:last,3654092.0548936
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,3607996.441645
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,155412.46474579
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,293205.08840782
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,3360922.8808114
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,289391.20649296
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,293203.46980693
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.LRouter.pppg$o[0].channel,throughput:last,289399.98302201
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.LRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293195.7749467
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-10-20200817-09:22:45-22288,2000,10,FinalTask.Professor.ethg$o[0].channel,throughput:last,293204.896
VC_with_HTTP_Only-11-20200817-09:41:12-22288,2000,11,FinalTask.AP.ethg$o[0].channel,throughput:last,446378.30043166
