run,time,repetition,Module,Name,
HTTP_Client_Decrease_S05-0-20200815-18:52:25-28248,1000,0,FinalTask.Professor.app[0],[VC] Total LOST Packets,9
HTTP_Client_Decrease_S05-0-20200815-18:52:25-28248,1000,0,FinalTask.Student.app[0],[VC] Total LOST Packets,46
HTTP_Client_Decrease_S05-1-20200815-19:07:37-28248,1000,1,FinalTask.Professor.app[0],[VC] Total LOST Packets,6
HTTP_Client_Decrease_S05-1-20200815-19:07:37-28248,1000,1,FinalTask.Student.app[0],[VC] Total LOST Packets,50
HTTP_Client_Decrease_S05-2-20200815-19:22:05-28248,1000,2,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Client_Decrease_S05-2-20200815-19:22:05-28248,1000,2,FinalTask.Student.app[0],[VC] Total LOST Packets,38
HTTP_Client_Decrease_S05-3-20200815-18:52:25-28249,1000,3,FinalTask.Professor.app[0],[VC] Total LOST Packets,8
HTTP_Client_Decrease_S05-3-20200815-18:52:25-28249,1000,3,FinalTask.Student.app[0],[VC] Total LOST Packets,54
HTTP_Client_Decrease_S05-4-20200815-19:07:45-28249,1000,4,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
HTTP_Client_Decrease_S05-4-20200815-19:07:45-28249,1000,4,FinalTask.Student.app[0],[VC] Total LOST Packets,59
HTTP_Client_Decrease_S05-5-20200815-19:22:11-28249,1000,5,FinalTask.Professor.app[0],[VC] Total LOST Packets,9
HTTP_Client_Decrease_S05-5-20200815-19:22:11-28249,1000,5,FinalTask.Student.app[0],[VC] Total LOST Packets,51
HTTP_Client_Decrease_S05-6-20200815-18:52:25-28250,1000,6,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
HTTP_Client_Decrease_S05-6-20200815-18:52:25-28250,1000,6,FinalTask.Student.app[0],[VC] Total LOST Packets,46
HTTP_Client_Decrease_S05-7-20200815-19:08:03-28250,1000,7,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
HTTP_Client_Decrease_S05-7-20200815-19:08:03-28250,1000,7,FinalTask.Student.app[0],[VC] Total LOST Packets,46
HTTP_Client_Decrease_S05-8-20200815-19:22:26-28250,1000,8,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
HTTP_Client_Decrease_S05-8-20200815-19:22:26-28250,1000,8,FinalTask.Student.app[0],[VC] Total LOST Packets,49
HTTP_Client_Decrease_S05-9-20200815-18:52:25-28251,1000,9,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
HTTP_Client_Decrease_S05-9-20200815-18:52:25-28251,1000,9,FinalTask.Student.app[0],[VC] Total LOST Packets,52
