run,time,repetition,Module,Name,
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.AP.ethg$o[0].channel,throughput:last,7552638.6645795
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7379554.4668663
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.DRouter.ethg$o[0].channel,throughput:last,6286874.1974666
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,6096179.6866028
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,237484.25230505
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7315094.37805
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,5662759.7739848
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7218959.8582144
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,624300.00476869
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.LRouter.pppg$o[0].channel,throughput:last,505526.69321111
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7017095.9798178
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293045.5821365
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,331109.66307666
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.Professor.ethg$o[0].channel,throughput:last,293205.184
HTTP_Client_Increase_S04a-1-20200815-12:01:56-20777,1000,1,FinalTask.AP.ethg$o[0].channel,throughput:last,7562879.0793868
HTTP_Client_Increase_S04a-1-20200815-12:01:56-20777,1000,1,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7389183.0294447
HTTP_Client_Increase_S04a-1-20200815-12:01:56-20777,1000,1,FinalTask.DRouter.ethg$o[0].channel,throughput:last,6310309.6480806
