run,time,repetition,Module,Name,
HTTP_Client_Increase_S04b-0-20200815-14:42:20-24427,1000,0,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00108
HTTP_Client_Increase_S04b-0-20200815-14:42:20-24427,1000,0,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01584
HTTP_Client_Increase_S04b-1-20200815-16:08:50-24427,1000,1,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0014
HTTP_Client_Increase_S04b-1-20200815-16:08:50-24427,1000,1,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01336
HTTP_Client_Increase_S04b-2-20200815-17:30:50-24427,1000,2,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00108
HTTP_Client_Increase_S04b-2-20200815-17:30:50-24427,1000,2,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01392
HTTP_Client_Increase_S04b-3-20200815-14:42:20-24428,1000,3,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0008
HTTP_Client_Increase_S04b-3-20200815-14:42:20-24428,1000,3,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0166
HTTP_Client_Increase_S04b-4-20200815-16:06:55-24428,1000,4,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00096
HTTP_Client_Increase_S04b-4-20200815-16:06:55-24428,1000,4,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01324
HTTP_Client_Increase_S04b-5-20200815-17:28:28-24428,1000,5,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00092
HTTP_Client_Increase_S04b-5-20200815-17:28:28-24428,1000,5,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01404
HTTP_Client_Increase_S04b-6-20200815-14:42:20-24429,1000,6,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0012
HTTP_Client_Increase_S04b-6-20200815-14:42:20-24429,1000,6,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01528
HTTP_Client_Increase_S04b-7-20200815-16:06:25-24429,1000,7,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.001
HTTP_Client_Increase_S04b-7-20200815-16:06:25-24429,1000,7,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01724
HTTP_Client_Increase_S04b-8-20200815-17:27:21-24429,1000,8,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00084
HTTP_Client_Increase_S04b-8-20200815-17:27:21-24429,1000,8,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.016
HTTP_Client_Increase_S04b-9-20200815-14:42:20-24430,1000,9,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.001
HTTP_Client_Increase_S04b-9-20200815-14:42:20-24430,1000,9,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01884
