Q1,0.071123577,,,Condition,Group,Color
Q3,0.130871762,,,Y <= 0.15,A,Blue
IQR,0.059748184,,,Y > 0.15,B,Red
Lower Bound,-0.018498699,,,,,
Upper Bound,0.220494038,,,,,
,,,,,,
Time,E2E Delay,OUTLIER?,,Group,A,B
1.120542343,1.08,Yes,Yes,#N/A,#N/A,#N/A
1.121989343,1.04,Yes,Yes,#N/A,#N/A,#N/A
1.123436343,1.00,Yes,Yes,#N/A,#N/A,#N/A
1.124883343,0.96,Yes,Yes,#N/A,#N/A,#N/A
1.126330343,0.93,Yes,Yes,#N/A,#N/A,#N/A
1.127777343,0.89,Yes,Yes,#N/A,#N/A,#N/A
1.129224343,0.85,Yes,Yes,#N/A,#N/A,#N/A
1.130671343,0.81,Yes,Yes,#N/A,#N/A,#N/A
1.132118343,0.77,Yes,Yes,#N/A,#N/A,#N/A
1.133565343,0.73,Yes,Yes,#N/A,#N/A,#N/A
1.135012343,0.70,Yes,Yes,#N/A,#N/A,#N/A
1.136459343,0.66,Yes,Yes,#N/A,#N/A,#N/A
1.137906343,0.62,Yes,Yes,#N/A,#N/A,#N/A
1.139353343,0.58,Yes,Yes,#N/A,#N/A,#N/A
1.140800343,0.54,Yes,Yes,#N/A,#N/A,#N/A
1.142247343,0.50,Yes,Yes,#N/A,#N/A,#N/A
1.143694343,0.46,Yes,Yes,#N/A,#N/A,#N/A
1.145141343,0.43,Yes,Yes,#N/A,#N/A,#N/A
1.146588343,0.39,Yes,Yes,#N/A,#N/A,#N/A
1.148035343,0.35,Yes,Yes,#N/A,#N/A,#N/A
1.149482343,0.31,Yes,Yes,#N/A,#N/A,#N/A
1.150929343,0.27,Yes,Yes,#N/A,#N/A,#N/A
1.152376343,0.23,Yes,Yes,#N/A,#N/A,#N/A
1.153823343,0.19,No,No,B,#N/A,0.193823343
1.155270343,0.16,No,No,B,#N/A,0.155270343
1.156717343,0.12,No,No,A,0.116717343,#N/A
1.158164343,0.08,No,No,A,0.078164343,#N/A
1.182334627,0.06,No,No,A,0.062334627,#N/A
1.222334627,0.06,No,No,A,0.062334627,#N/A
1.262334627,0.06,No,No,A,0.062334627,#N/A
1.302334627,0.06,No,No,A,0.062334627,#N/A
1.342334627,0.06,No,No,A,0.062334627,#N/A
1.382334627,0.06,No,No,A,0.062334627,#N/A
1.422334627,0.06,No,No,A,0.062334627,#N/A
1.462334627,0.06,No,No,A,0.062334627,#N/A
1.502334627,0.06,No,No,A,0.062334627,#N/A
1.542449145,0.06,No,No,A,0.062449145,#N/A
1.582334627,0.06,No,No,A,0.062334627,#N/A
1.622334627,0.06,No,No,A,0.062334627,#N/A
1.662452578,0.06,No,No,A,0.062452578,#N/A
1.710948286,0.07,No,No,A,0.070948286,#N/A
1.743980876,0.06,No,No,A,0.063980876,#N/A
1.782348522,0.06,No,No,A,0.062348522,#N/A
1.822756143,0.06,No,No,A,0.062756143,#N/A
1.872283812,0.07,No,No,A,0.072283812,#N/A
1.902719201,0.06,No,No,A,0.062719201,#N/A
1.943554949,0.06,No,No,A,0.063554949,#N/A
1.983262351,0.06,No,No,A,0.063262351,#N/A
2.022618036,0.06,No,No,A,0.062618036,#N/A
2.067372116,0.07,No,No,A,0.067372116,#N/A
2.112522116,0.07,No,No,A,0.072522116,#N/A
2.143054197,0.06,No,No,A,0.063054197,#N/A
2.182334627,0.06,No,No,A,0.062334627,#N/A
2.223262131,0.06,No,No,A,0.063262131,#N/A
2.263465546,0.06,No,No,A,0.063465546,#N/A
2.316260929,0.08,No,No,A,0.076260929,#N/A
2.385522929,0.11,No,No,A,0.105522929,#N/A
2.412588929,0.09,No,No,A,0.092588929,#N/A
2.462259929,0.10,No,No,A,0.102259929,#N/A
2.528507929,0.13,No,No,A,0.128507929,#N/A
2.599276929,0.16,No,No,B,#N/A,0.159276929
2.648947929,0.17,No,No,B,#N/A,0.168947929
2.688069929,0.17,No,No,B,#N/A,0.168069929
2.767880929,0.17,No,No,B,#N/A,0.167880929
2.807002929,0.17,No,No,B,#N/A,0.167002929
2.847631929,0.17,No,No,B,#N/A,0.167631929
2.888260929,0.17,No,No,B,#N/A,0.168260929
2.933410929,0.13,No,No,A,0.133410929,#N/A
2.934857929,0.09,No,No,A,0.094857929,#N/A
2.942371784,0.06,No,No,A,0.062371784,#N/A
2.982334627,0.06,No,No,A,0.062334627,#N/A
3.022849289,0.06,No,No,A,0.062849289,#N/A
3.068085591,0.07,No,No,A,0.068085591,#N/A
3.102334627,0.06,No,No,A,0.062334627,#N/A
3.143058303,0.06,No,No,A,0.063058303,#N/A
3.187628382,0.07,No,No,A,0.067628382,#N/A
3.222334627,0.06,No,No,A,0.062334627,#N/A
3.26318052,0.06,No,No,A,0.06318052,#N/A
3.304294382,0.06,No,No,A,0.064294382,#N/A
3.342334627,0.06,No,No,A,0.062334627,#N/A
3.382334627,0.06,No,No,A,0.062334627,#N/A
3.42589945,0.07,No,No,A,0.06589945,#N/A
3.462334627,0.06,No,No,A,0.062334627,#N/A
3.502543751,0.06,No,No,A,0.062543751,#N/A
3.542334627,0.06,No,No,A,0.062334627,#N/A
3.586241382,0.07,No,No,A,0.066241382,#N/A
3.623807685,0.06,No,No,A,0.063807685,#N/A
3.662334627,0.06,No,No,A,0.062334627,#N/A
3.704654382,0.06,No,No,A,0.064654382,#N/A
3.742334627,0.06,No,No,A,0.062334627,#N/A
3.782886377,0.06,No,No,A,0.062886377,#N/A
3.823643429,0.06,No,No,A,0.063643429,#N/A
3.862530297,0.06,No,No,A,0.062530297,#N/A
3.902629341,0.06,No,No,A,0.062629341,#N/A
3.942472512,0.06,No,No,A,0.062472512,#N/A
3.982334627,0.06,No,No,A,0.062334627,#N/A
4.022601081,0.06,No,No,A,0.062601081,#N/A
4.064035559,0.06,No,No,A,0.064035559,#N/A
4.102334627,0.06,No,No,A,0.062334627,#N/A
4.142572821,0.06,No,No,A,0.062572821,#N/A
4.182334627,0.06,No,No,A,0.062334627,#N/A
4.222800919,0.06,No,No,A,0.062800919,#N/A
4.263188418,0.06,No,No,A,0.063188418,#N/A
4.302334627,0.06,No,No,A,0.062334627,#N/A
4.342979291,0.06,No,No,A,0.062979291,#N/A
4.38292778,0.06,No,No,A,0.06292778,#N/A
4.422334627,0.06,No,No,A,0.062334627,#N/A
4.463539512,0.06,No,No,A,0.063539512,#N/A
4.502334627,0.06,No,No,A,0.062334627,#N/A
4.542334627,0.06,No,No,A,0.062334627,#N/A
4.582334627,0.06,No,No,A,0.062334627,#N/A
4.623696001,0.06,No,No,A,0.063696001,#N/A
4.662334627,0.06,No,No,A,0.062334627,#N/A
4.702334627,0.06,No,No,A,0.062334627,#N/A
4.744408778,0.06,No,No,A,0.064408778,#N/A
4.782334627,0.06,No,No,A,0.062334627,#N/A
4.822334627,0.06,No,No,A,0.062334627,#N/A
4.8632951,0.06,No,No,A,0.0632951,#N/A
4.902334627,0.06,No,No,A,0.062334627,#N/A
4.942334627,0.06,No,No,A,0.062334627,#N/A
4.982810645,0.06,No,No,A,0.062810645,#N/A
5.022334627,0.06,No,No,A,0.062334627,#N/A
5.062334627,0.06,No,No,A,0.062334627,#N/A
5.102490324,0.06,No,No,A,0.062490324,#N/A
5.144191745,0.06,No,No,A,0.064191745,#N/A
5.182334627,0.06,No,No,A,0.062334627,#N/A
5.223511507,0.06,No,No,A,0.063511507,#N/A
5.263140942,0.06,No,No,A,0.063140942,#N/A
5.302334627,0.06,No,No,A,0.062334627,#N/A
5.342334627,0.06,No,No,A,0.062334627,#N/A
5.38682728,0.07,No,No,A,0.06682728,#N/A
5.422334627,0.06,No,No,A,0.062334627,#N/A
5.463292853,0.06,No,No,A,0.063292853,#N/A
5.503329957,0.06,No,No,A,0.063329957,#N/A
5.542334627,0.06,No,No,A,0.062334627,#N/A
5.582334627,0.06,No,No,A,0.062334627,#N/A
5.622838748,0.06,No,No,A,0.062838748,#N/A
5.662334627,0.06,No,No,A,0.062334627,#N/A
5.703200596,0.06,No,No,A,0.063200596,#N/A
5.743398753,0.06,No,No,A,0.063398753,#N/A
5.782334627,0.06,No,No,A,0.062334627,#N/A
5.822334627,0.06,No,No,A,0.062334627,#N/A
5.862334627,0.06,No,No,A,0.062334627,#N/A
5.902334627,0.06,No,No,A,0.062334627,#N/A
5.943297861,0.06,No,No,A,0.063297861,#N/A
5.983097719,0.06,No,No,A,0.063097719,#N/A
6.022334627,0.06,No,No,A,0.062334627,#N/A
6.063578274,0.06,No,No,A,0.063578274,#N/A
6.103072974,0.06,No,No,A,0.063072974,#N/A
6.142334627,0.06,No,No,A,0.062334627,#N/A
6.182372695,0.06,No,No,A,0.062372695,#N/A
6.222334627,0.06,No,No,A,0.062334627,#N/A
6.262334627,0.06,No,No,A,0.062334627,#N/A
6.302619666,0.06,No,No,A,0.062619666,#N/A
6.342334627,0.06,No,No,A,0.062334627,#N/A
6.382334627,0.06,No,No,A,0.062334627,#N/A
6.422444702,0.06,No,No,A,0.062444702,#N/A
6.462334627,0.06,No,No,A,0.062334627,#N/A
6.502334627,0.06,No,No,A,0.062334627,#N/A
6.542516442,0.06,No,No,A,0.062516442,#N/A
6.582334627,0.06,No,No,A,0.062334627,#N/A
6.622334627,0.06,No,No,A,0.062334627,#N/A
6.662334627,0.06,No,No,A,0.062334627,#N/A
6.702334627,0.06,No,No,A,0.062334627,#N/A
6.742334627,0.06,No,No,A,0.062334627,#N/A
6.7828899,0.06,No,No,A,0.0628899,#N/A
6.822334627,0.06,No,No,A,0.062334627,#N/A
6.862832763,0.06,No,No,A,0.062832763,#N/A
6.902334627,0.06,No,No,A,0.062334627,#N/A
6.942334627,0.06,No,No,A,0.062334627,#N/A
6.982636575,0.06,No,No,A,0.062636575,#N/A
7.022334627,0.06,No,No,A,0.062334627,#N/A
7.062334627,0.06,No,No,A,0.062334627,#N/A
7.103900986,0.06,No,No,A,0.063900986,#N/A
7.142334627,0.06,No,No,A,0.062334627,#N/A
7.182334627,0.06,No,No,A,0.062334627,#N/A
