run,time,repetition,Module,Name,
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Professor.app[0],[VC] Total RCVD Packets,46864
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Professor.app[0],[VC] Total LOST Packets,14
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Professor.app[0],[VC] Total LATE Packets,3122
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Student.app[0],[VC] Total RCVD Packets,43760
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Student.app[0],[VC] Total LOST Packets,885
HTTP_Clients_11-0-20200817-00:51:26-10268,2000,0,FinalTask.Student.app[0],[VC] Total LATE Packets,5355
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Professor.app[0],[VC] Total RCVD Packets,46914
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Professor.app[0],[VC] Total LATE Packets,3073
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Student.app[0],[VC] Total RCVD Packets,44007
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Student.app[0],[VC] Total LOST Packets,898
HTTP_Clients_11-10-20200817-00:51:26-10270,2000,10,FinalTask.Student.app[0],[VC] Total LATE Packets,5095
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Professor.app[0],[VC] Total RCVD Packets,46776
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Professor.app[0],[VC] Total LATE Packets,3211
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Student.app[0],[VC] Total SENT Packets,50000
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Student.app[0],[VC] Total RCVD Packets,43879
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Student.app[0],[VC] Total LOST Packets,857
HTTP_Clients_11-11-20200817-04:20:47-10270,2000,11,FinalTask.Student.app[0],[VC] Total LATE Packets,5264
HTTP_Clients_11-12-20200817-07:55:09-10270,2000,12,FinalTask.Professor.app[0],[VC] Total SENT Packets,50000
