run,time,repetition,Module,Name,
HTTP_Client_Increase_S04b-0-20200816-04:43:10-4586,1000,0,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.085343951283094
HTTP_Client_Increase_S04b-0-20200816-04:43:10-4586,1000,0,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12595723181432
HTTP_Client_Increase_S04b-1-20200816-06:08:11-4586,1000,1,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.087888952058889
HTTP_Client_Increase_S04b-1-20200816-06:08:11-4586,1000,1,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12952825978682
HTTP_Client_Increase_S04b-2-20200816-07:29:07-4586,1000,2,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.08703152263039
HTTP_Client_Increase_S04b-2-20200816-07:29:07-4586,1000,2,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12870749211463
HTTP_Client_Increase_S04b-3-20200816-04:43:10-4587,1000,3,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.084848916704469
HTTP_Client_Increase_S04b-3-20200816-04:43:10-4587,1000,3,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12501158104658
HTTP_Client_Increase_S04b-4-20200816-06:09:33-4587,1000,4,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.086696067925403
HTTP_Client_Increase_S04b-4-20200816-06:09:33-4587,1000,4,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.13169737671547
HTTP_Client_Increase_S04b-5-20200816-07:32:58-4587,1000,5,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.085093368415958
HTTP_Client_Increase_S04b-5-20200816-07:32:58-4587,1000,5,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12697606535069
HTTP_Client_Increase_S04b-6-20200816-04:43:10-4588,1000,6,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.084362110745032
HTTP_Client_Increase_S04b-6-20200816-04:43:10-4588,1000,6,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12670355359565
HTTP_Client_Increase_S04b-7-20200816-06:09:27-4588,1000,7,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.086041457758945
HTTP_Client_Increase_S04b-7-20200816-06:09:27-4588,1000,7,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12708280700661
HTTP_Client_Increase_S04b-8-20200816-07:32:13-4588,1000,8,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.08419378482285
HTTP_Client_Increase_S04b-8-20200816-07:32:13-4588,1000,8,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12570419033034
HTTP_Client_Increase_S04b-9-20200816-04:43:10-4589,1000,9,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.083659782389045
HTTP_Client_Increase_S04b-9-20200816-04:43:10-4589,1000,9,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.12547865423916
