run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.AP.wlan[0].mac,packetDrop:count,369
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,100029
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,100361
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,3662624
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.Student.wlan[0].mac,packetDrop:count,3662632
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.AP.wlan[0].mac,packetDrop:count,366
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,100796
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,101170
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,3678267
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.Student.wlan[0].mac,packetDrop:count,3678278
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.AP.wlan[0].mac,packetDrop:count,371
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,100029
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,100382
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,3659240
VC_with_FTP_Only-2-20200816-01:10:00-564,1000,2,FinalTask.Student.wlan[0].mac,packetDrop:count,3659253
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.AP.wlan[0].mac,packetDrop:count,374
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,100029
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,100419
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,3665128
VC_with_FTP_Only-3-20200816-00:21:11-565,1000,3,FinalTask.Student.wlan[0].mac,packetDrop:count,3665141
VC_with_FTP_Only-4-20200816-00:47:23-565,1000,4,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,0
