run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.AP.ethg$o[0].channel,throughput:last,7746873.6137594
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7650248.7480399
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.DRouter.ethg$o[0].channel,throughput:last,644659.96076746
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,518810.34401864
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7746862.0450332
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7645542.1296964
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,644689.98507948
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.LRouter.pppg$o[0].channel,throughput:last,518836.66795134
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7449029.8383369
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293074.75444689
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,351500.11879482
VC_with_FTP_Only-0-20200816-00:21:10-564,1000,0,FinalTask.Professor.ethg$o[0].channel,throughput:last,293205.184
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.AP.ethg$o[0].channel,throughput:last,7778591.0003309
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.DRouter.pppg$o[0].channel,throughput:last,7681569.80878
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.DRouter.ethg$o[0].channel,throughput:last,646170.17471636
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,519796.16927593
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,7778584.2498606
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,7677050.3401244
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,646200.59653206
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.LRouter.pppg$o[0].channel,throughput:last,519822.49336572
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.LRouter.ethg$o[0].channel,throughput:last,7480925.0346775
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293084.24791529
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,353010.35948494
VC_with_FTP_Only-1-20200816-00:47:17-564,1000,1,FinalTask.Professor.ethg$o[0].channel,throughput:last,293205.184
