run,time,repetition,Module,Name,
VC_with_FTP_and_HTTP-0-20200816-02:21:46-2253,1000,0,FinalTask.Professor.app[0],[VC] Total LATE Packets,2269
VC_with_FTP_and_HTTP-0-20200816-02:21:46-2253,1000,0,FinalTask.Student.app[0],[VC] Total LATE Packets,957
VC_with_FTP_and_HTTP-1-20200816-03:04:04-2253,1000,1,FinalTask.Professor.app[0],[VC] Total LATE Packets,2250
VC_with_FTP_and_HTTP-1-20200816-03:04:04-2253,1000,1,FinalTask.Student.app[0],[VC] Total LATE Packets,942
VC_with_FTP_and_HTTP-2-20200816-03:40:08-2253,1000,2,FinalTask.Professor.app[0],[VC] Total LATE Packets,2482
VC_with_FTP_and_HTTP-2-20200816-03:40:08-2253,1000,2,FinalTask.Student.app[0],[VC] Total LATE Packets,914
VC_with_FTP_and_HTTP-3-20200816-02:21:46-2254,1000,3,FinalTask.Professor.app[0],[VC] Total LATE Packets,2366
VC_with_FTP_and_HTTP-3-20200816-02:21:46-2254,1000,3,FinalTask.Student.app[0],[VC] Total LATE Packets,918
VC_with_FTP_and_HTTP-4-20200816-03:04:17-2254,1000,4,FinalTask.Professor.app[0],[VC] Total LATE Packets,2244
VC_with_FTP_and_HTTP-4-20200816-03:04:17-2254,1000,4,FinalTask.Student.app[0],[VC] Total LATE Packets,905
VC_with_FTP_and_HTTP-5-20200816-03:41:10-2254,1000,5,FinalTask.Professor.app[0],[VC] Total LATE Packets,2367
VC_with_FTP_and_HTTP-5-20200816-03:41:10-2254,1000,5,FinalTask.Student.app[0],[VC] Total LATE Packets,960
VC_with_FTP_and_HTTP-6-20200816-02:21:46-2255,1000,6,FinalTask.Professor.app[0],[VC] Total LATE Packets,2286
VC_with_FTP_and_HTTP-6-20200816-02:21:46-2255,1000,6,FinalTask.Student.app[0],[VC] Total LATE Packets,935
VC_with_FTP_and_HTTP-7-20200816-03:05:20-2255,1000,7,FinalTask.Professor.app[0],[VC] Total LATE Packets,2386
VC_with_FTP_and_HTTP-7-20200816-03:05:20-2255,1000,7,FinalTask.Student.app[0],[VC] Total LATE Packets,963
VC_with_FTP_and_HTTP-8-20200816-03:42:05-2255,1000,8,FinalTask.Professor.app[0],[VC] Total LATE Packets,2260
VC_with_FTP_and_HTTP-8-20200816-03:42:05-2255,1000,8,FinalTask.Student.app[0],[VC] Total LATE Packets,954
VC_with_FTP_and_HTTP-9-20200816-02:21:46-2256,1000,9,FinalTask.Professor.app[0],[VC] Total LATE Packets,2335
VC_with_FTP_and_HTTP-9-20200816-02:21:46-2256,1000,9,FinalTask.Student.app[0],[VC] Total LATE Packets,911
