run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063119543588446
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079260666879229
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063138561966008
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079187435818851
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063131405848497
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079237767608568
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063129767634614
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079135141312098
VC_with_HTTP_Only-4-20200816-01:53:48-1567,1000,4,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063139340067623
VC_with_HTTP_Only-4-20200816-01:53:48-1567,1000,4,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079197920595428
VC_with_HTTP_Only-5-20200816-02:08:24-1567,1000,5,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.06312899264144
VC_with_HTTP_Only-5-20200816-02:08:24-1567,1000,5,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079108756799797
VC_with_HTTP_Only-6-20200816-01:35:16-1568,1000,6,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063136852026959
VC_with_HTTP_Only-6-20200816-01:35:16-1568,1000,6,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079269714083239
VC_with_HTTP_Only-7-20200816-01:53:23-1568,1000,7,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063111101315909
VC_with_HTTP_Only-7-20200816-01:53:23-1568,1000,7,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079749306889647
VC_with_HTTP_Only-8-20200816-02:07:48-1568,1000,8,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063129213213099
VC_with_HTTP_Only-8-20200816-02:07:48-1568,1000,8,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.078975056734276
VC_with_HTTP_Only-9-20200816-01:35:16-1569,1000,9,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.063125343018327
VC_with_HTTP_Only-9-20200816-01:35:16-1569,1000,9,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.079319815587707
