run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,10131
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.AP.wlan[0].mac,packetDrop:count,10347
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1714789
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1715411
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,1614980
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Student.wlan[0].mac,packetDrop:count,1615413
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,1321987
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[0].wlan[0].mac,packetDrop:count,1322453
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,1306950
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[1].wlan[0].mac,packetDrop:count,1307430
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,1311674
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[2].wlan[0].mac,packetDrop:count,1312141
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,1303603
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Client[3].wlan[0].mac,packetDrop:count,1304074
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,10167
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.AP.wlan[0].mac,packetDrop:count,10403
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1679027
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1679629
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,1579227
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Student.wlan[0].mac,packetDrop:count,1579612
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,1271763
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[0].wlan[0].mac,packetDrop:count,1272223
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,1288705
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[1].wlan[0].mac,packetDrop:count,1289151
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,1286396
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[2].wlan[0].mac,packetDrop:count,1286828
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,1290098
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Client[3].wlan[0].mac,packetDrop:count,1290543
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,9635
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.AP.wlan[0].mac,packetDrop:count,9892
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1715003
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1715599
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,1615175
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Student.wlan[0].mac,packetDrop:count,1615595
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,1326781
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[0].wlan[0].mac,packetDrop:count,1327242
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,1303603
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[1].wlan[0].mac,packetDrop:count,1304069
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,1309610
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[2].wlan[0].mac,packetDrop:count,1310059
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,1304800
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Client[3].wlan[0].mac,packetDrop:count,1305251
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,10051
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.AP.wlan[0].mac,packetDrop:count,10215
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,1691387
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,1692011
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,1591537
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Student.wlan[0].mac,packetDrop:count,1591961
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,1307969
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Client[0].wlan[0].mac,packetDrop:count,1308190
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,1307952
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Client[1].wlan[0].mac,packetDrop:count,1308436
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,1274745
