run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10859419965178
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072831367911202
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10852922106383
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.07283313143238
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10817990604622
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072819263117504
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10861871815673
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072832411891336
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10929696745806
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072842952294875
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10858018701256
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072830634343083
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10859240272693
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072831564608616
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10860793189658
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072832670562787
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10821866419122
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072819060459003
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.10849372839361
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.072832164325201
