run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.Professor.app[0],[VC] Total LOST Packets,15
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.Student.app[0],[VC] Total LOST Packets,2
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.Student.app[0],[VC] Total LOST Packets,2
