run,time,repetition,Module,Name,
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,7.3346413928428e-08
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.4690685796778e-05
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.142928381777
VC_with_FTP_Only-0-20200815-10:23:32-20863,1000,0,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3267408454352
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,1.069467524413e-06
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.4243382096684e-05
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.13022454614
VC_with_FTP_Only-1-20200815-10:49:53-20863,1000,1,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3309201105503
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,9.8090272464839e-08
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,9.418103434237e-06
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,30.863803517074
VC_with_FTP_Only-2-20200815-11:12:50-20863,1000,2,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3250939492599
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,1.6920688569702e-07
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.4596423943699e-05
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.162336866065
VC_with_FTP_Only-3-20200815-10:23:32-20864,1000,3,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3278571420637
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,1.2531329728032e-07
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.8957595010342e-05
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.644744109333
VC_with_FTP_Only-4-20200815-10:49:46-20864,1000,4,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3344570527438
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,1.7236410469362e-07
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.4166884361927e-05
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.137931317639
VC_with_FTP_Only-5-20200815-11:12:38-20864,1000,5,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3275723101785
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,3.7202313860308e-07
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.4345245712108e-05
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.151074382935
VC_with_FTP_Only-6-20200815-10:23:32-20865,1000,6,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3271922644852
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,3.8898831285432e-07
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.4290890268682e-05
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.185294454167
VC_with_FTP_Only-7-20200815-10:49:43-20865,1000,7,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3290128309441
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,1.1365290175532e-07
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,9.5740595901375e-06
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,30.887263534913
VC_with_FTP_Only-8-20200815-11:12:11-20865,1000,8,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3259448420439
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,1.4237137465486e-07
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3840168618191e-05
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,31.12196978634
VC_with_FTP_Only-9-20200815-10:23:32-20866,1000,9,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,1.3268879521528
