run,time,repetition,Module,Name,
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Professor.app[0],[VC] Total LATE Packets,2269
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Student.app[0],[VC] Total LATE Packets,957
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.Professor.app[0],[VC] Total LATE Packets,2250
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.Student.app[0],[VC] Total LATE Packets,942
VC_with_FTP_and_HTTP-2-20200815-13:41:21-22561,1000,2,FinalTask.Professor.app[0],[VC] Total LATE Packets,2482
VC_with_FTP_and_HTTP-2-20200815-13:41:21-22561,1000,2,FinalTask.Student.app[0],[VC] Total LATE Packets,914
VC_with_FTP_and_HTTP-3-20200815-12:23:06-22562,1000,3,FinalTask.Professor.app[0],[VC] Total LATE Packets,2366
VC_with_FTP_and_HTTP-3-20200815-12:23:06-22562,1000,3,FinalTask.Student.app[0],[VC] Total LATE Packets,918
VC_with_FTP_and_HTTP-4-20200815-13:05:01-22562,1000,4,FinalTask.Professor.app[0],[VC] Total LATE Packets,2244
VC_with_FTP_and_HTTP-4-20200815-13:05:01-22562,1000,4,FinalTask.Student.app[0],[VC] Total LATE Packets,905
VC_with_FTP_and_HTTP-5-20200815-13:41:32-22562,1000,5,FinalTask.Professor.app[0],[VC] Total LATE Packets,2367
VC_with_FTP_and_HTTP-5-20200815-13:41:32-22562,1000,5,FinalTask.Student.app[0],[VC] Total LATE Packets,960
VC_with_FTP_and_HTTP-6-20200815-12:23:06-22563,1000,6,FinalTask.Professor.app[0],[VC] Total LATE Packets,2286
VC_with_FTP_and_HTTP-6-20200815-12:23:06-22563,1000,6,FinalTask.Student.app[0],[VC] Total LATE Packets,935
VC_with_FTP_and_HTTP-7-20200815-13:06:50-22563,1000,7,FinalTask.Professor.app[0],[VC] Total LATE Packets,2386
VC_with_FTP_and_HTTP-7-20200815-13:06:50-22563,1000,7,FinalTask.Student.app[0],[VC] Total LATE Packets,963
VC_with_FTP_and_HTTP-8-20200815-13:43:21-22563,1000,8,FinalTask.Professor.app[0],[VC] Total LATE Packets,2260
VC_with_FTP_and_HTTP-8-20200815-13:43:21-22563,1000,8,FinalTask.Student.app[0],[VC] Total LATE Packets,954
VC_with_FTP_and_HTTP-9-20200815-12:23:06-22564,1000,9,FinalTask.Professor.app[0],[VC] Total LATE Packets,2335
VC_with_FTP_and_HTTP-9-20200815-12:23:06-22564,1000,9,FinalTask.Student.app[0],[VC] Total LATE Packets,911
