run,time,repetition,Module,Name,
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Student.app[0],[VC] Total LOST Packets,188
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.Professor.app[0],[VC] Total LOST Packets,13
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.Student.app[0],[VC] Total LOST Packets,196
VC_with_FTP_and_HTTP-2-20200815-13:41:21-22561,1000,2,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
VC_with_FTP_and_HTTP-2-20200815-13:41:21-22561,1000,2,FinalTask.Student.app[0],[VC] Total LOST Packets,185
VC_with_FTP_and_HTTP-3-20200815-12:23:06-22562,1000,3,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
VC_with_FTP_and_HTTP-3-20200815-12:23:06-22562,1000,3,FinalTask.Student.app[0],[VC] Total LOST Packets,195
VC_with_FTP_and_HTTP-4-20200815-13:05:01-22562,1000,4,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
VC_with_FTP_and_HTTP-4-20200815-13:05:01-22562,1000,4,FinalTask.Student.app[0],[VC] Total LOST Packets,185
VC_with_FTP_and_HTTP-5-20200815-13:41:32-22562,1000,5,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
VC_with_FTP_and_HTTP-5-20200815-13:41:32-22562,1000,5,FinalTask.Student.app[0],[VC] Total LOST Packets,209
VC_with_FTP_and_HTTP-6-20200815-12:23:06-22563,1000,6,FinalTask.Professor.app[0],[VC] Total LOST Packets,12
VC_with_FTP_and_HTTP-6-20200815-12:23:06-22563,1000,6,FinalTask.Student.app[0],[VC] Total LOST Packets,200
VC_with_FTP_and_HTTP-7-20200815-13:06:50-22563,1000,7,FinalTask.Professor.app[0],[VC] Total LOST Packets,11
VC_with_FTP_and_HTTP-7-20200815-13:06:50-22563,1000,7,FinalTask.Student.app[0],[VC] Total LOST Packets,183
VC_with_FTP_and_HTTP-8-20200815-13:43:21-22563,1000,8,FinalTask.Professor.app[0],[VC] Total LOST Packets,10
VC_with_FTP_and_HTTP-8-20200815-13:43:21-22563,1000,8,FinalTask.Student.app[0],[VC] Total LOST Packets,190
VC_with_FTP_and_HTTP-9-20200815-12:23:06-22564,1000,9,FinalTask.Professor.app[0],[VC] Total LOST Packets,9
VC_with_FTP_and_HTTP-9-20200815-12:23:06-22564,1000,9,FinalTask.Student.app[0],[VC] Total LOST Packets,182
