run,time,repetition,Module,Name,
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,29344
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.AP.wlan[0].mac,packetDrop:count,30494
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,963010
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,964183
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,4394021
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Student.wlan[0].mac,packetDrop:count,4396137
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,4282210
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[0].wlan[0].mac,packetDrop:count,4284819
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[1].wlan[0].mac.dcf,packetDrop:count,4281107
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[1].wlan[0].mac,packetDrop:count,4283721
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[2].wlan[0].mac.dcf,packetDrop:count,4275440
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[2].wlan[0].mac,packetDrop:count,4278036
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[3].wlan[0].mac.dcf,packetDrop:count,4274894
VC_with_FTP_and_HTTP-0-20200815-12:23:06-22561,1000,0,FinalTask.Client[3].wlan[0].mac,packetDrop:count,4277487
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.AP.wlan[0].mac.dcf,packetDrop:count,30015
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.AP.wlan[0].mac,packetDrop:count,31156
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.FTPUploadStudent.wlan[0].mac.dcf,packetDrop:count,968889
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.FTPUploadStudent.wlan[0].mac,packetDrop:count,970082
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.Student.wlan[0].mac.dcf,packetDrop:count,4367237
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.Student.wlan[0].mac,packetDrop:count,4369381
VC_with_FTP_and_HTTP-1-20200815-13:05:21-22561,1000,1,FinalTask.Client[0].wlan[0].mac.dcf,packetDrop:count,4256082
