run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00116
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.02056
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00124
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.02016
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00124
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01856
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0012
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01896
VC_with_HTTP_Only-4-20200816-01:53:48-1567,1000,4,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00124
VC_with_HTTP_Only-4-20200816-01:53:48-1567,1000,4,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01892
VC_with_HTTP_Only-5-20200816-02:08:24-1567,1000,5,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.0012
VC_with_HTTP_Only-5-20200816-02:08:24-1567,1000,5,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01876
VC_with_HTTP_Only-6-20200816-01:35:16-1568,1000,6,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00124
VC_with_HTTP_Only-6-20200816-01:35:16-1568,1000,6,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.01996
VC_with_HTTP_Only-7-20200816-01:53:23-1568,1000,7,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00112
VC_with_HTTP_Only-7-20200816-01:53:23-1568,1000,7,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.02112
VC_with_HTTP_Only-8-20200816-02:07:48-1568,1000,8,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00124
VC_with_HTTP_Only-8-20200816-02:07:48-1568,1000,8,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.0192
VC_with_HTTP_Only-9-20200816-01:35:16-1569,1000,9,FinalTask.Professor.app[0],[VC] AVG PK LOSS Rate,0.00124
VC_with_HTTP_Only-9-20200816-01:35:16-1569,1000,9,FinalTask.Student.app[0],[VC] AVG PK LOSS Rate,0.02048
