run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24971
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Student.app[0],[VC] Total RCVD Packets,24486
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24969
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Student.app[0],[VC] Total RCVD Packets,24496
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24969
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.Student.app[0],[VC] Total RCVD Packets,24536
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24970
VC_with_HTTP_Only-3-20200816-01:35:16-1567,1000,3,FinalTask.Student.app[0],[VC] Total RCVD Packets,24526
VC_with_HTTP_Only-4-20200816-01:53:48-1567,1000,4,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24969
VC_with_HTTP_Only-4-20200816-01:53:48-1567,1000,4,FinalTask.Student.app[0],[VC] Total RCVD Packets,24527
VC_with_HTTP_Only-5-20200816-02:08:24-1567,1000,5,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24970
VC_with_HTTP_Only-5-20200816-02:08:24-1567,1000,5,FinalTask.Student.app[0],[VC] Total RCVD Packets,24531
VC_with_HTTP_Only-6-20200816-01:35:16-1568,1000,6,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24969
VC_with_HTTP_Only-6-20200816-01:35:16-1568,1000,6,FinalTask.Student.app[0],[VC] Total RCVD Packets,24501
VC_with_HTTP_Only-7-20200816-01:53:23-1568,1000,7,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24972
VC_with_HTTP_Only-7-20200816-01:53:23-1568,1000,7,FinalTask.Student.app[0],[VC] Total RCVD Packets,24472
VC_with_HTTP_Only-8-20200816-02:07:48-1568,1000,8,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24969
VC_with_HTTP_Only-8-20200816-02:07:48-1568,1000,8,FinalTask.Student.app[0],[VC] Total RCVD Packets,24520
VC_with_HTTP_Only-9-20200816-01:35:16-1569,1000,9,FinalTask.Professor.app[0],[VC] Total RCVD Packets,24969
VC_with_HTTP_Only-9-20200816-01:35:16-1569,1000,9,FinalTask.Student.app[0],[VC] Total RCVD Packets,24488
