run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200815-11:38:00-21946,1000,0,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-0-20200815-11:38:00-21946,1000,0,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-1-20200815-11:56:24-21946,1000,1,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-1-20200815-11:56:24-21946,1000,1,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-2-20200815-12:09:55-21946,1000,2,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-2-20200815-12:09:55-21946,1000,2,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-3-20200815-11:38:00-21947,1000,3,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-3-20200815-11:38:00-21947,1000,3,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-4-20200815-11:56:05-21947,1000,4,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-4-20200815-11:56:05-21947,1000,4,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-5-20200815-12:09:56-21947,1000,5,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-5-20200815-12:09:56-21947,1000,5,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-6-20200815-11:38:00-21948,1000,6,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-6-20200815-11:38:00-21948,1000,6,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-7-20200815-11:55:55-21948,1000,7,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-7-20200815-11:55:55-21948,1000,7,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-8-20200815-12:09:18-21948,1000,8,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-8-20200815-12:09:18-21948,1000,8,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-9-20200815-11:38:00-21949,1000,9,FinalTask.Professor.app[0],[VC] Total SENT Packets,25000
VC_with_HTTP_Only-9-20200815-11:38:00-21949,1000,9,FinalTask.Student.app[0],[VC] Total SENT Packets,25000
