run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200815-11:38:00-21946,1000,0,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00040600310122369
VC_with_HTTP_Only-0-20200815-11:38:00-21946,1000,0,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.0002456031371543
VC_with_HTTP_Only-0-20200815-11:38:00-21946,1000,0,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00026105891071177
VC_with_HTTP_Only-0-20200815-11:38:00-21946,1000,0,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-1-20200815-11:56:24-21946,1000,1,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00040309127917822
VC_with_HTTP_Only-1-20200815-11:56:24-21946,1000,1,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00022845958828807
VC_with_HTTP_Only-1-20200815-11:56:24-21946,1000,1,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00031910140149873
VC_with_HTTP_Only-1-20200815-11:56:24-21946,1000,1,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-2-20200815-12:09:55-21946,1000,2,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.0003998864420757
VC_with_HTTP_Only-2-20200815-12:09:55-21946,1000,2,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00023452215270312
VC_with_HTTP_Only-2-20200815-12:09:55-21946,1000,2,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00026515722869562
VC_with_HTTP_Only-2-20200815-12:09:55-21946,1000,2,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-3-20200815-11:38:00-21947,1000,3,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00040781605283946
VC_with_HTTP_Only-3-20200815-11:38:00-21947,1000,3,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00021900220760705
VC_with_HTTP_Only-3-20200815-11:38:00-21947,1000,3,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00028751511909531
VC_with_HTTP_Only-3-20200815-11:38:00-21947,1000,3,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-4-20200815-11:56:05-21947,1000,4,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00040857024900138
VC_with_HTTP_Only-4-20200815-11:56:05-21947,1000,4,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00022094612157191
VC_with_HTTP_Only-4-20200815-11:56:05-21947,1000,4,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00031264537230914
VC_with_HTTP_Only-4-20200815-11:56:05-21947,1000,4,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-5-20200815-12:09:56-21947,1000,5,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.0003882272904901
VC_with_HTTP_Only-5-20200815-12:09:56-21947,1000,5,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00023230580159313
VC_with_HTTP_Only-5-20200815-12:09:56-21947,1000,5,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00030206270687915
VC_with_HTTP_Only-5-20200815-12:09:56-21947,1000,5,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-6-20200815-11:38:00-21948,1000,6,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00038978822155994
VC_with_HTTP_Only-6-20200815-11:38:00-21948,1000,6,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00021972256565735
VC_with_HTTP_Only-6-20200815-11:38:00-21948,1000,6,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00033076965822716
VC_with_HTTP_Only-6-20200815-11:38:00-21948,1000,6,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-7-20200815-11:55:55-21948,1000,7,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00040788888212359
VC_with_HTTP_Only-7-20200815-11:55:55-21948,1000,7,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00021215784906474
VC_with_HTTP_Only-7-20200815-11:55:55-21948,1000,7,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00028135639935298
VC_with_HTTP_Only-7-20200815-11:55:55-21948,1000,7,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-8-20200815-12:09:18-21948,1000,8,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00038844538206732
VC_with_HTTP_Only-8-20200815-12:09:18-21948,1000,8,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00022458264025967
VC_with_HTTP_Only-8-20200815-12:09:18-21948,1000,8,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00029701075840052
VC_with_HTTP_Only-8-20200815-12:09:18-21948,1000,8,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
VC_with_HTTP_Only-9-20200815-11:38:00-21949,1000,9,FinalTask.DRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00040934295150135
VC_with_HTTP_Only-9-20200815-11:38:00-21949,1000,9,FinalTask.DISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00022246435048961
VC_with_HTTP_Only-9-20200815-11:38:00-21949,1000,9,FinalTask.LISPRouter.ppp[0].ppp.queue,queueLength:timeavg,0.00033449302233691
VC_with_HTTP_Only-9-20200815-11:38:00-21949,1000,9,FinalTask.LRouter.ppp[0].ppp.queue,queueLength:timeavg,0
