run,time,repetition,Module,Name,
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.AP.ethg$o[0].channel,throughput:last,450056.34468773
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.DRouter.pppg$o[0].channel,throughput:last,392239.81990886
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.DRouter.ethg$o[0].channel,throughput:last,3682040.5034327
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,3635580.797189
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,156842.37987954
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,293207.74538867
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,3389156.6821416
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,289382.41273777
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,293204.63564686
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.LRouter.pppg$o[0].channel,throughput:last,289399.96604334
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.LRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293186.94165623
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-0-20200816-01:35:16-1566,1000,0,FinalTask.Professor.ethg$o[0].channel,throughput:last,293205.184
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.AP.ethg$o[0].channel,throughput:last,446625.37602688
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.DRouter.pppg$o[0].channel,throughput:last,389993.09532964
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.DRouter.ethg$o[0].channel,throughput:last,3610530.3420861
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,3564998.6671644
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,153413.1391931
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,293204.99270924
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,3317384.7369063
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,289382.41271552
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,293201.75556534
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.LRouter.pppg$o[0].channel,throughput:last,289399.96604334
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.LRouter.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.LRouter.ethg$o[1].channel,throughput:last,293186.94163368
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.FTPServer.ethg$o[0].channel,throughput:last,NaN
VC_with_HTTP_Only-1-20200816-01:53:58-1566,1000,1,FinalTask.Professor.ethg$o[0].channel,throughput:last,293205.184
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.AP.ethg$o[0].channel,throughput:last,450097.95762941
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.DRouter.pppg$o[0].channel,throughput:last,392269.98847543
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.DRouter.ethg$o[0].channel,throughput:last,3676689.0282268
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.DISPRouter.pppg$o[0].channel,throughput:last,3630304.3699783
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.DISPRouter.ethg$o[0].channel,throughput:last,156879.17695542
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.DISPRouter.ethg$o[1].channel,throughput:last,293204.99271049
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.HTTPServer.ethg$o[0].channel,throughput:last,3383783.2587637
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.LISPRouter.pppg$o[0].channel,throughput:last,289382.41271675
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.LISPRouter.ethg$o[0].channel,throughput:last,293201.75556534
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.LRouter.pppg$o[0].channel,throughput:last,289399.96604334
VC_with_HTTP_Only-2-20200816-02:08:29-1566,1000,2,FinalTask.LRouter.ethg$o[0].channel,throughput:last,NaN
